n_robots,mode,container,cpu_percent_mean,cpu_percent_std,mem_mb_mean,mem_mb_std,blk_read_mb_mean,blk_read_mb_std,blk_write_mb_mean,blk_write_mb_std,net_rx_mb_mean,net_rx_mb_std,net_tx_mb_mean,net_tx_mb_std
10,continuous,robot3-sidecar,9.523180488779456,2.615650542790514,68.05350330527742,5.486922237704888,0.0,0.0,3.462748259543095,2.353144436134771,6.334949391368765,3.9536129555312165,6.731696765155158,4.273059435635364
10,continuous,robot4-sidecar,9.143015605753726,2.246569887342461,68.69607726936421,4.808625378582079,0.0,0.0,3.304114475138369,2.2166011794940355,5.951444161647519,3.622304460655864,6.142852678422743,3.753562915037123
10,continuous,robot5-sidecar,9.540799449126576,2.1981283253035886,66.72374104940073,5.687836605968724,0.0,0.0,3.332578301477492,2.244356206751218,6.627543815348778,3.6393228683844328,7.186110128646192,3.7750212039767725
10,continuous,robot6-sidecar,9.007809202885262,2.172054374432673,69.53456862430467,4.705202120331578,0.0,0.0,3.021611936090226,2.021728354232246,5.82990324057094,3.5151262004802057,5.938053245155572,3.5821937241518063
10,continuous,robot7-sidecar,9.012781244644433,2.1892131002459467,67.4579167703811,4.482384763630974,0.0024442317916002127,0.0033829376967137717,3.3572799739595247,2.180884565970944,5.84529155806887,3.5021302591138097,5.954479536636049,3.5566276135673323
10,continuous,robot8-sidecar,9.049729368450288,2.138533122642835,69.47082033481327,5.005657461525616,0.0,0.0,3.2834626467609462,2.176586724306911,5.882064764031633,3.529647392617245,6.023385666240097,3.608969740833168
10,continuous,robot9-sidecar,9.105288222213805,2.3532456284563206,69.66741239775685,4.61502437063128,0.0,0.0,3.147430589146885,2.123319018829457,5.939018507061173,3.591144360958658,6.109512301782993,3.706769632482969
10,continuous,secaas,12.377555507211508,2.752452198574117,64.46284598838668,0.3383415664636024,1.062,0.0,29.94899095496055,18.367605380271428,3.389966038168854,2.012394719670706,4.1745841979883265,2.4381635009424203
10,startup,robot1-sidecar,6.413375180375181,0.8709402597371333,62.47117424242424,5.114063168712674,0.0,0.0,0.22372436868686868,0.1243567800122602,0.5389329004329004,0.3106939610599683,0.627060551948052,0.37496250437655493
10,startup,robot10-sidecar,4.975176493930905,0.18516042410319403,63.08828313492063,5.834468473379086,0.0,0.0,0.26911213818860874,0.1520279473416461,0.5437194817927171,0.31373094777728966,0.6332317343604108,0.37981438030224457
10,startup,robot2-sidecar,5.611441666666666,0.2613049311675328,64.56586944444444,5.803178058076428,0.008,0.0,0.22008666666666668,0.12608072065976245,0.5422916666666666,0.31324528809061747,0.6365177777777777,0.38126818580431776
10,startup,robot3-sidecar,5.684148057498057,0.5751899408363956,59.70171853146853,6.364314413995696,0.016,0.0,0.22094296814296813,0.12654843550588843,0.5054091414141414,0.31231320113482536,0.5890869308469309,0.37672800562307407
10,startup,robot4-sidecar,5.514227655677656,0.29855240242392006,63.21551905871905,5.307779235878033,0.523,0.0,0.23093917637917638,0.12531767338575858,0.5487683416583417,0.31384388761949,0.6426051509601509,0.3817617388132085
10,startup,robot5-sidecar,5.332495598845599,0.28782723191642456,63.986224242424235,3.3300255812820176,0.531,0.0,0.2720905339105339,0.14831852623366173,0.5441225252525252,0.3129393846441344,0.6366361976911977,0.3800479225763986
10,startup,robot6-sidecar,5.253729187479188,0.2059927463792849,62.13187173243423,5.152553833441633,0.008,0.0,0.2523583832833833,0.14454520426170905,0.49773932109557106,0.30407520856043446,0.5825939331501832,0.3682014464434925
10,startup,robot7-sidecar,5.1857676402029345,0.27283104568804906,61.65300002938238,7.45437163242293,0.023,1.635512977795599e-18,0.26428608078196314,0.14816130862374766,0.5124448541654424,0.31269700806886397,0.6031834436152084,0.37951909292465275
10,startup,robot8-sidecar,5.117380065767565,0.33739672068714655,62.584667149517145,5.2553422556261875,0.008,0.0,0.2716983460983461,0.14872180637857507,0.5495400326062827,0.314589019164672,0.6407139083139083,0.38257203956249625
10,startup,robot9-sidecar,5.136846113303621,0.2097075194282476,63.59184756447113,6.601742646571104,0.0,0.0,0.26096288363726056,0.14571821036948868,0.545069346471382,0.3158278882327854,0.6366219461549802,0.383164465945726
