container,t_rel_s,cpu_percent,mem_mb,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
robot1-sidecar,146,13.65,61.07,0.0,1.914,0.677,0.972
robot1-sidecar,147,8.46,61.15,0.0,1.914,0.678,0.974
robot1-sidecar,148,9.27,61.08,0.0,1.922,0.68,0.977
robot1-sidecar,149,8.84,61.2,0.0,1.922,0.682,0.98
robot1-sidecar,150,9.69,61.09,0.0,1.93,0.684,0.983
robot1-sidecar,151,9.31,61.07,0.0,1.93,0.685,0.985
robot1-sidecar,152,9.4,61.13,0.0,1.938,0.687,0.988
robot1-sidecar,153,9.53,61.06,0.0,1.938,0.689,0.991
robot1-sidecar,154,10.6,61.21,0.0,1.945,0.691,0.994
robot1-sidecar,155,9.71,61.07,0.0,1.945,0.692,0.996
robot1-sidecar,156,9.62,61.26,0.0,1.953,0.694,0.999
robot1-sidecar,157,12.77,61.24,0.0,1.953,0.701,1.007
robot1-sidecar,158,14.61,61.12,0.0,1.961,0.71,1.02
robot1-sidecar,159,12.84,61.34,0.0,1.961,0.717,1.03
robot1-sidecar,160,33.77,61.13,0.0,2.008,0.741,1.06
robot1-sidecar,161,11.43,61.38,0.0,2.016,0.747,1.068
robot1-sidecar,162,12.8,61.1,0.0,2.039,0.752,1.076
robot1-sidecar,163,8.54,61.09,0.0,2.047,0.755,1.078
robot1-sidecar,164,10.13,61.09,0.0,2.047,0.757,1.081
robot1-sidecar,165,8.6,61.1,0.0,2.047,0.758,1.083
robot1-sidecar,166,8.9,61.21,0.0,2.055,0.76,1.086
robot1-sidecar,167,9.26,61.08,0.0,2.055,0.762,1.089
robot1-sidecar,168,8.7,61.2,0.0,2.062,0.764,1.092
robot1-sidecar,169,8.43,61.07,0.0,2.062,0.765,1.094
robot1-sidecar,170,9.47,61.07,0.0,2.07,0.767,1.097
robot1-sidecar,171,10.75,61.32,0.0,2.078,0.769,1.1
robot1-sidecar,172,9.61,61.11,0.0,2.078,0.771,1.103
robot1-sidecar,173,15.03,61.14,0.0,2.086,0.781,1.116
robot1-sidecar,174,12.18,61.25,0.0,2.086,0.786,1.124
robot1-sidecar,175,16.17,61.13,0.0,2.086,0.797,1.139
robot1-sidecar,176,21.72,61.18,0.0,2.117,0.811,1.159
robot1-sidecar,177,14.53,61.21,0.0,2.148,0.819,1.171
robot1-sidecar,178,8.9,61.08,0.0,2.148,0.821,1.173
robot1-sidecar,179,7.03,61.01,0.0,2.156,0.823,1.176
robot1-sidecar,180,5.77,61.22,0.0,2.156,0.825,1.179
robot1-sidecar,181,5.15,61.02,0.0,2.164,0.826,1.182
robot1-sidecar,182,5.36,61.15,0.0,2.188,0.828,1.185
robot1-sidecar,183,5.24,61.15,0.0,2.195,0.83,1.188
robot2-sidecar,0,4.94,60.24,0.0,1.148,0.015,0.018
robot2-sidecar,1,9.38,60.14,0.0,1.156,0.017,0.021
robot2-sidecar,2,8.95,60.17,0.0,1.156,0.018,0.024
robot2-sidecar,3,9.9,60.29,0.0,1.164,0.02,0.027
robot2-sidecar,4,8.46,60.18,0.0,1.164,0.022,0.028
robot2-sidecar,5,8.74,60.18,0.0,1.172,0.023,0.031
robot2-sidecar,6,8.76,60.2,0.0,1.172,0.025,0.034
robot2-sidecar,7,9.49,60.22,0.0,1.18,0.027,0.037
robot2-sidecar,8,9.24,60.37,0.0,1.18,0.029,0.039
robot2-sidecar,9,9.56,60.24,0.0,1.188,0.031,0.042
robot2-sidecar,10,8.5,60.25,0.0,1.188,0.032,0.045
robot2-sidecar,11,10.24,60.36,0.0,1.195,0.034,0.048
robot2-sidecar,12,8.86,60.38,0.0,1.195,0.036,0.05
robot2-sidecar,13,8.62,60.41,0.0,1.203,0.038,0.053
robot2-sidecar,14,13.83,60.74,0.0,1.203,0.044,0.062
robot2-sidecar,15,13.3,60.49,0.0,1.211,0.052,0.073
robot2-sidecar,16,13.4,60.48,0.0,1.211,0.058,0.083
robot2-sidecar,17,15.7,60.71,0.0,1.219,0.067,0.096
robot2-sidecar,18,11.32,60.63,0.0,1.219,0.073,0.104
robot2-sidecar,19,15.22,60.77,0.0,1.227,0.082,0.118
robot2-sidecar,20,11.37,60.64,0.0,1.227,0.088,0.127
robot2-sidecar,21,15.1,60.58,0.0,1.242,0.097,0.141
robot2-sidecar,22,9.57,60.7,0.0,1.242,0.099,0.143
robot2-sidecar,23,9.98,60.59,0.0,1.25,0.103,0.148
robot2-sidecar,24,8.55,60.59,0.0,1.25,0.105,0.151
robot2-sidecar,25,9.41,60.59,0.0,1.258,0.107,0.154
robot2-sidecar,26,8.19,60.73,0.0,1.258,0.108,0.156
robot2-sidecar,27,9.48,60.63,0.0,1.266,0.11,0.159
robot2-sidecar,28,8.01,60.61,0.0,1.266,0.112,0.161
robot2-sidecar,29,8.34,60.69,0.0,1.273,0.114,0.164
robot2-sidecar,30,12.2,60.67,0.0,1.273,0.121,0.175
robot2-sidecar,31,14.4,60.68,0.0,1.281,0.13,0.188
robot2-sidecar,32,11.27,60.69,0.0,1.281,0.137,0.198
robot2-sidecar,33,18.04,60.82,0.0,1.289,0.151,0.218
robot2-sidecar,34,12.07,60.7,0.0,1.289,0.157,0.228
robot2-sidecar,35,13.07,60.82,0.0,1.305,0.163,0.236
robot2-sidecar,36,8.6,60.92,0.0,1.305,0.165,0.239
robot2-sidecar,37,10.72,60.8,0.0,1.312,0.167,0.242
robot2-sidecar,38,9.86,60.69,0.0,1.312,0.169,0.244
robot2-sidecar,39,9.02,60.8,0.0,1.32,0.172,0.247
robot2-sidecar,40,7.92,60.75,0.0,1.32,0.174,0.25
robot2-sidecar,41,9.16,60.68,0.0,1.328,0.177,0.253
robot2-sidecar,42,8.74,60.7,0.0,1.328,0.179,0.255
robot2-sidecar,43,8.75,60.82,0.0,1.336,0.181,0.258
robot2-sidecar,44,8.38,60.8,0.0,1.336,0.182,0.26
robot2-sidecar,45,12.01,60.91,0.0,1.352,0.188,0.268
robot2-sidecar,47,11.02,60.88,0.0,1.352,0.193,0.276
robot2-sidecar,48,14.28,60.88,0.0,1.359,0.202,0.288
robot2-sidecar,49,13.19,60.77,0.0,1.359,0.208,0.298
robot2-sidecar,50,22.78,61.04,0.0,1.375,0.227,0.324
robot2-sidecar,51,11.82,60.9,0.0,1.375,0.233,0.334
robot2-sidecar,52,12.68,61.01,0.0,1.391,0.239,0.343
robot2-sidecar,53,8.63,61.12,0.0,1.391,0.241,0.345
robot2-sidecar,54,9.65,61.09,0.0,1.398,0.243,0.348
robot2-sidecar,55,9.39,60.94,0.0,1.398,0.244,0.35
robot2-sidecar,56,10.19,60.99,0.0,1.406,0.246,0.353
robot2-sidecar,57,9.49,60.89,0.0,1.406,0.247,0.355
robot2-sidecar,58,9.02,60.9,0.0,1.414,0.249,0.358
robot2-sidecar,59,8.8,61.02,0.0,1.414,0.251,0.361
robot2-sidecar,60,10.07,61.01,0.0,1.422,0.253,0.364
robot2-sidecar,61,9.93,60.89,0.0,1.422,0.255,0.366
robot2-sidecar,62,14.04,61.07,0.0,1.438,0.261,0.375
robot2-sidecar,63,11.37,61.06,0.0,1.438,0.266,0.383
robot2-sidecar,64,14.48,61.01,0.0,1.445,0.275,0.396
robot2-sidecar,65,13.84,60.96,0.0,1.445,0.282,0.406
robot2-sidecar,66,27.65,61.13,0.0,1.469,0.305,0.437
robot2-sidecar,67,13.67,61.0,0.0,1.469,0.312,0.447
robot2-sidecar,68,13.05,60.96,0.0,1.484,0.317,0.454
robot2-sidecar,69,8.06,61.2,0.0,1.484,0.318,0.456
robot2-sidecar,70,8.51,60.94,0.0,1.492,0.32,0.459
robot2-sidecar,71,8.83,60.95,0.0,1.492,0.322,0.462
robot2-sidecar,72,9.95,60.96,0.0,1.5,0.324,0.465
robot2-sidecar,73,8.81,61.06,0.0,1.5,0.325,0.467
robot2-sidecar,74,8.02,61.19,0.0,1.508,0.327,0.47
robot2-sidecar,75,7.67,60.98,0.0,1.508,0.329,0.472
robot2-sidecar,76,9.04,61.18,0.0,1.516,0.331,0.476
robot2-sidecar,77,8.59,60.96,0.0,1.523,0.333,0.478
robot2-sidecar,78,13.98,61.12,0.0,1.531,0.341,0.49
robot2-sidecar,79,13.24,61.14,0.0,1.539,0.348,0.5
robot2-sidecar,80,14.09,61.01,0.0,1.539,0.357,0.513
robot2-sidecar,81,12.33,61.02,0.0,1.539,0.363,0.523
robot2-sidecar,82,23.1,61.14,0.0,1.555,0.379,0.545
robot2-sidecar,83,13.09,61.22,0.0,1.57,0.387,0.556
robot2-sidecar,84,7.97,61.1,0.0,1.57,0.389,0.559
robot2-sidecar,85,8.45,61.06,0.0,1.578,0.39,0.562
robot2-sidecar,86,8.29,61.36,0.0,1.578,0.392,0.565
robot2-sidecar,87,8.72,60.99,0.0,1.586,0.394,0.567
robot2-sidecar,88,8.58,60.99,0.0,1.586,0.396,0.57
robot2-sidecar,89,8.29,61.22,0.0,1.594,0.398,0.573
robot2-sidecar,90,9.98,61.14,0.0,1.594,0.399,0.576
robot2-sidecar,91,9.22,61.01,0.0,1.602,0.401,0.579
robot2-sidecar,92,9.61,61.01,0.0,1.602,0.403,0.581
robot2-sidecar,93,11.51,61.04,0.0,1.617,0.409,0.589
robot2-sidecar,94,11.56,61.07,0.0,1.617,0.414,0.596
robot2-sidecar,95,17.95,61.11,0.0,1.641,0.429,0.617
robot2-sidecar,96,12.11,61.06,0.0,1.641,0.435,0.626
robot2-sidecar,97,19.11,61.19,0.0,1.648,0.448,0.645
robot2-sidecar,98,11.34,61.07,0.0,1.648,0.454,0.653
robot2-sidecar,99,13.39,61.07,0.0,1.672,0.463,0.665
robot2-sidecar,100,8.15,61.18,0.0,1.672,0.465,0.667
robot2-sidecar,101,9.77,61.03,0.0,1.68,0.468,0.67
robot2-sidecar,102,8.32,61.15,0.0,1.68,0.47,0.673
robot2-sidecar,103,9.03,61.03,0.0,1.688,0.472,0.676
robot2-sidecar,104,8.3,61.03,0.0,1.688,0.474,0.678
robot2-sidecar,105,8.6,61.19,0.0,1.695,0.476,0.681
robot2-sidecar,106,8.4,61.05,0.0,1.695,0.478,0.684
robot2-sidecar,107,8.65,61.29,0.0,1.703,0.479,0.687
robot2-sidecar,108,9.55,61.05,0.0,1.703,0.481,0.689
robot2-sidecar,109,15.06,61.21,0.0,1.719,0.492,0.703
robot2-sidecar,110,11.0,61.08,0.0,1.719,0.498,0.713
robot2-sidecar,111,22.02,61.11,0.0,1.742,0.516,0.737
robot2-sidecar,112,15.41,61.11,0.0,1.758,0.526,0.751
robot2-sidecar,113,14.41,61.08,0.0,1.781,0.535,0.764
robot2-sidecar,114,8.43,61.08,0.0,1.781,0.537,0.766
robot2-sidecar,115,9.19,61.18,0.0,1.789,0.539,0.769
robot2-sidecar,116,8.96,61.07,0.0,1.789,0.54,0.772
robot2-sidecar,118,4.96,61.06,0.0,1.797,0.544,0.777
robot2-sidecar,119,9.72,61.07,0.0,1.805,0.546,0.78
robot2-sidecar,120,7.82,61.06,0.0,1.805,0.547,0.782
robot2-sidecar,121,8.69,61.09,0.0,1.812,0.549,0.785
robot2-sidecar,122,8.39,61.05,0.0,1.812,0.551,0.788
robot2-sidecar,123,9.18,61.07,0.0,1.82,0.553,0.791
robot2-sidecar,124,9.56,61.06,0.0,1.82,0.555,0.793
robot2-sidecar,125,16.37,61.13,0.0,1.836,0.566,0.809
robot2-sidecar,126,12.14,61.27,0.0,1.836,0.573,0.819
robot2-sidecar,127,18.81,61.11,0.0,1.844,0.584,0.836
robot2-sidecar,128,13.6,61.22,0.0,1.844,0.591,0.845
robot2-sidecar,129,16.37,61.09,0.0,1.867,0.599,0.857
robot2-sidecar,130,8.97,61.22,0.0,1.867,0.601,0.859
robot2-sidecar,131,9.3,61.13,0.0,1.875,0.602,0.862
robot2-sidecar,132,8.22,61.1,0.0,1.875,0.604,0.864
robot2-sidecar,133,10.2,61.09,0.0,1.883,0.606,0.868
robot2-sidecar,134,9.8,61.07,0.0,1.883,0.608,0.87
robot2-sidecar,135,9.67,61.1,0.0,1.891,0.61,0.873
robot2-sidecar,137,10.96,61.09,0.0,1.891,0.611,0.875
robot2-sidecar,138,10.27,61.09,0.0,1.898,0.613,0.878
robot2-sidecar,139,9.11,61.07,0.0,1.898,0.615,0.881
robot2-sidecar,140,9.98,61.34,0.0,1.906,0.617,0.884
robot2-sidecar,141,9.2,61.1,0.0,1.906,0.618,0.886
robot2-sidecar,142,17.26,61.14,0.0,1.922,0.63,0.902
robot2-sidecar,143,11.68,61.12,0.0,1.922,0.637,0.912
robot2-sidecar,144,22.97,61.12,0.0,1.945,0.656,0.939
robot2-sidecar,145,12.54,61.38,0.0,1.945,0.663,0.949
robot2-sidecar,146,14.98,61.35,0.0,1.969,0.668,0.956
robot2-sidecar,147,9.02,61.12,0.0,1.969,0.669,0.959
robot2-sidecar,148,11.14,61.22,0.0,1.977,0.671,0.962
robot2-sidecar,149,8.27,61.09,0.0,1.977,0.673,0.964
robot2-sidecar,150,9.78,61.1,0.0,1.984,0.675,0.967
robot2-sidecar,151,9.24,61.15,0.0,1.984,0.677,0.969
robot2-sidecar,152,8.38,61.46,0.0,1.992,0.678,0.972
robot2-sidecar,153,8.78,61.22,0.0,1.992,0.68,0.975
robot2-sidecar,154,8.98,61.08,0.0,2.0,0.682,0.978
robot2-sidecar,155,10.3,61.11,0.0,2.0,0.684,0.98
robot2-sidecar,156,8.64,61.1,0.0,2.008,0.686,0.983
robot2-sidecar,157,11.66,61.13,0.0,2.016,0.692,0.991
robot2-sidecar,158,14.54,61.36,0.0,2.023,0.701,1.004
robot2-sidecar,159,13.03,61.15,0.0,2.023,0.708,1.014
robot2-sidecar,160,21.18,61.13,0.0,2.031,0.724,1.035
robot2-sidecar,161,10.62,61.12,0.0,2.031,0.73,1.044
robot2-sidecar,162,14.49,61.19,0.0,2.055,0.735,1.051
robot2-sidecar,163,8.72,61.23,0.0,2.055,0.738,1.053
robot2-sidecar,164,8.67,61.22,0.0,2.062,0.74,1.056
robot2-sidecar,165,10.02,61.23,0.0,2.062,0.741,1.059
robot2-sidecar,166,9.3,61.24,0.0,2.07,0.743,1.062
robot2-sidecar,167,9.89,61.12,0.0,2.078,0.745,1.065
robot2-sidecar,168,8.4,61.09,0.0,2.078,0.747,1.067
robot2-sidecar,169,8.62,61.24,0.0,2.086,0.749,1.07
robot2-sidecar,170,9.3,61.12,0.0,2.086,0.75,1.072
robot2-sidecar,171,10.11,61.09,0.0,2.094,0.752,1.075
robot2-sidecar,172,9.83,61.13,0.0,2.094,0.754,1.078
robot2-sidecar,173,18.73,61.14,0.0,2.109,0.76,1.087
robot2-sidecar,174,16.35,61.16,0.0,2.109,0.77,1.1
robot2-sidecar,175,13.07,61.26,0.0,2.109,0.776,1.11
robot2-sidecar,176,25.33,61.16,0.0,2.141,0.795,1.135
robot2-sidecar,177,14.92,61.1,0.0,2.172,0.802,1.147
robot2-sidecar,178,8.74,61.12,0.0,2.172,0.804,1.15
robot2-sidecar,179,6.91,61.04,0.0,2.18,0.806,1.153
robot2-sidecar,180,4.74,61.05,0.0,2.18,0.808,1.155
robot2-sidecar,181,5.45,61.04,0.0,2.188,0.81,1.158
robot2-sidecar,182,5.23,61.05,0.0,2.211,0.812,1.161
robot2-sidecar,183,5.8,61.05,0.0,2.219,0.814,1.164
robot2-sidecar,184,4.24,61.05,0.0,2.219,0.815,1.166
robot3-sidecar,0,4.69,60.2,0.0,1.148,0.015,0.018
robot3-sidecar,1,9.13,60.12,0.0,1.156,0.017,0.021
robot3-sidecar,2,9.17,60.16,0.0,1.156,0.018,0.023
robot3-sidecar,3,8.81,60.17,0.0,1.164,0.02,0.026
robot3-sidecar,4,8.73,60.15,0.0,1.164,0.021,0.028
robot3-sidecar,5,9.27,60.32,0.0,1.172,0.023,0.031
robot3-sidecar,7,5.38,60.3,0.0,1.18,0.027,0.037
robot3-sidecar,8,8.11,60.32,0.0,1.18,0.029,0.039
robot3-sidecar,9,9.32,60.34,0.0,1.188,0.031,0.042
robot3-sidecar,10,9.13,60.23,0.0,1.188,0.032,0.044
robot3-sidecar,11,9.24,60.33,0.0,1.195,0.034,0.047
robot3-sidecar,12,8.9,60.26,0.0,1.195,0.036,0.05
robot3-sidecar,13,9.96,60.25,0.0,1.203,0.037,0.053
robot3-sidecar,14,13.52,60.44,0.0,1.203,0.044,0.062
robot3-sidecar,15,13.13,60.48,0.0,1.211,0.053,0.074
robot3-sidecar,16,10.54,60.46,0.0,1.211,0.058,0.083
robot3-sidecar,17,14.98,60.59,0.0,1.219,0.067,0.096
robot3-sidecar,18,11.04,60.84,0.0,1.219,0.073,0.104
robot3-sidecar,19,16.3,60.57,0.0,1.234,0.082,0.117
robot3-sidecar,20,8.64,60.67,0.0,1.234,0.084,0.12
robot3-sidecar,21,11.19,60.55,0.0,1.242,0.087,0.125
robot3-sidecar,22,8.95,60.66,0.0,1.242,0.089,0.127
robot3-sidecar,23,11.01,60.58,0.0,1.25,0.093,0.133
robot3-sidecar,24,8.14,60.58,0.0,1.25,0.095,0.136
robot3-sidecar,25,8.54,60.7,0.0,1.258,0.097,0.139
robot3-sidecar,26,8.18,60.69,0.0,1.258,0.098,0.141
robot3-sidecar,27,8.84,60.83,0.0,1.266,0.1,0.144
robot3-sidecar,28,8.4,60.59,0.0,1.266,0.102,0.146
robot3-sidecar,29,8.35,60.78,0.0,1.273,0.104,0.149
robot3-sidecar,30,12.57,60.78,0.0,1.273,0.112,0.161
robot3-sidecar,31,13.9,60.64,0.0,1.281,0.12,0.172
robot3-sidecar,32,13.23,60.66,0.0,1.281,0.126,0.182
