n_robots,ssp_ms,iterq,cpu_limit,participant,run,role,metric,run_median_s,participant_group
4,20000.0,1.0,,Robot4,2,prover,total_lifecycle,5.043124455999999,Robot
4,20000.0,1.0,,Robot4,2,verifier,reaction_time,0.00370607,Robot
4,20000.0,1.0,,Robot4,2,verifier,result_call,0.008978347499999999,Robot
4,20000.0,1.0,,Robot4,2,verifier,signatures_fetch,0.002785942,Robot
4,20000.0,1.0,,Robot4,2,verifier,total_lifecycle,0.011399534999999999,Robot
4,20000.0,1.0,,Robot4,2,verifier,verify_compute,1.1495000000000002e-06,Robot
4,20000.0,1.0,,Robot4,3,prover,e2e_blockchain,5.0076750375,Robot
4,20000.0,1.0,,Robot4,3,prover,evidence_call,0.008436925,Robot
4,20000.0,1.0,,Robot4,3,prover,total_lifecycle,5.02074364,Robot
4,20000.0,1.0,,Robot4,3,verifier,reaction_time,0.0031167639999999997,Robot
4,20000.0,1.0,,Robot4,3,verifier,result_call,0.008559627,Robot
4,20000.0,1.0,,Robot4,3,verifier,signatures_fetch,0.001954309,Robot
4,20000.0,1.0,,Robot4,3,verifier,total_lifecycle,0.010262252,Robot
4,20000.0,1.0,,Robot4,3,verifier,verify_compute,1.033e-06,Robot
4,20000.0,1.0,,SECaaS,1,oracle,db_lookup,0.000915756,SECaaS
4,20000.0,1.0,,SECaaS,1,oracle,prover_addr_fetch,0.012165441,SECaaS
4,20000.0,1.0,,SECaaS,1,oracle,reaction_time,0.11158008450000001,SECaaS
4,20000.0,1.0,,SECaaS,1,oracle,ref_signature_call,0.0355185405,SECaaS
4,20000.0,1.0,,SECaaS,1,oracle,total_lifecycle,0.0694731445,SECaaS
4,20000.0,1.0,,SECaaS,2,oracle,db_lookup,0.000942399,SECaaS
4,20000.0,1.0,,SECaaS,2,oracle,prover_addr_fetch,0.009948747,SECaaS
4,20000.0,1.0,,SECaaS,2,oracle,reaction_time,0.1028503645,SECaaS
4,20000.0,1.0,,SECaaS,2,oracle,ref_signature_call,0.030959172,SECaaS
4,20000.0,1.0,,SECaaS,2,oracle,total_lifecycle,0.059997378500000004,SECaaS
4,20000.0,1.0,,SECaaS,3,oracle,db_lookup,0.0008933845,SECaaS
4,20000.0,1.0,,SECaaS,3,oracle,prover_addr_fetch,0.009236013500000001,SECaaS
4,20000.0,1.0,,SECaaS,3,oracle,reaction_time,0.090323645,SECaaS
4,20000.0,1.0,,SECaaS,3,oracle,ref_signature_call,0.028601848,SECaaS
4,20000.0,1.0,,SECaaS,3,oracle,total_lifecycle,0.0543591615,SECaaS
8,20000.0,1.0,,Robot1,1,prover,e2e_blockchain,5.2841265515,Robot
8,20000.0,1.0,,Robot1,1,prover,evidence_call,0.011892168499999998,Robot
8,20000.0,1.0,,Robot1,1,prover,total_lifecycle,5.302288058,Robot
8,20000.0,1.0,,Robot1,1,verifier,reaction_time,0.0050521245,Robot
8,20000.0,1.0,,Robot1,1,verifier,result_call,0.0145405915,Robot
8,20000.0,1.0,,Robot1,1,verifier,signatures_fetch,0.0048859485,Robot
8,20000.0,1.0,,Robot1,1,verifier,total_lifecycle,0.020166963500000003,Robot
8,20000.0,1.0,,Robot1,1,verifier,verify_compute,1.7985e-06,Robot
8,20000.0,1.0,,Robot1,2,prover,e2e_blockchain,4.857758713,Robot
8,20000.0,1.0,,Robot1,2,prover,evidence_call,0.0156360205,Robot
8,20000.0,1.0,,Robot1,2,prover,total_lifecycle,4.875386081,Robot
8,20000.0,1.0,,Robot1,2,verifier,reaction_time,0.004494886,Robot
8,20000.0,1.0,,Robot1,2,verifier,result_call,0.00973037,Robot
8,20000.0,1.0,,Robot1,2,verifier,signatures_fetch,0.002471218,Robot
8,20000.0,1.0,,Robot1,2,verifier,total_lifecycle,0.012224460999999999,Robot
8,20000.0,1.0,,Robot1,2,verifier,verify_compute,1.2080000000000001e-06,Robot
8,20000.0,1.0,,Robot1,3,prover,e2e_blockchain,5.174729825,Robot
8,20000.0,1.0,,Robot1,3,prover,evidence_call,0.014024648,Robot
8,20000.0,1.0,,Robot1,3,prover,total_lifecycle,5.1937635065,Robot
8,20000.0,1.0,,Robot1,3,verifier,reaction_time,0.006852607,Robot
8,20000.0,1.0,,Robot1,3,verifier,result_call,0.012811963999999999,Robot
8,20000.0,1.0,,Robot1,3,verifier,signatures_fetch,0.004158732,Robot
8,20000.0,1.0,,Robot1,3,verifier,total_lifecycle,0.017004699999999998,Robot
8,20000.0,1.0,,Robot1,3,verifier,verify_compute,1.3345e-06,Robot
8,20000.0,1.0,,Robot2,1,prover,e2e_blockchain,5.2834647265,Robot
8,20000.0,1.0,,Robot2,1,prover,evidence_call,0.020374141,Robot
8,20000.0,1.0,,Robot2,1,prover,total_lifecycle,5.300192299500001,Robot
8,20000.0,1.0,,Robot2,1,verifier,reaction_time,0.004914471,Robot
8,20000.0,1.0,,Robot2,1,verifier,result_call,0.017086524000000002,Robot
8,20000.0,1.0,,Robot2,1,verifier,signatures_fetch,0.0049843840000000006,Robot
8,20000.0,1.0,,Robot2,1,verifier,total_lifecycle,0.024519478,Robot
8,20000.0,1.0,,Robot2,1,verifier,verify_compute,2.152e-06,Robot
8,20000.0,1.0,,Robot2,2,prover,e2e_blockchain,4.867335043,Robot
8,20000.0,1.0,,Robot2,2,prover,evidence_call,0.014755925999999999,Robot
8,20000.0,1.0,,Robot2,2,prover,total_lifecycle,4.884212074,Robot
8,20000.0,1.0,,Robot2,2,verifier,reaction_time,0.0055329509999999995,Robot
8,20000.0,1.0,,Robot2,2,verifier,result_call,0.016863382000000003,Robot
8,20000.0,1.0,,Robot2,2,verifier,signatures_fetch,0.0030320399999999997,Robot
8,20000.0,1.0,,Robot2,2,verifier,total_lifecycle,0.019225811,Robot
8,20000.0,1.0,,Robot2,2,verifier,verify_compute,1.7440000000000002e-06,Robot
8,20000.0,1.0,,Robot2,3,prover,e2e_blockchain,5.175423987,Robot
8,20000.0,1.0,,Robot2,3,prover,evidence_call,0.013198521,Robot
8,20000.0,1.0,,Robot2,3,prover,total_lifecycle,5.193790673500001,Robot
8,20000.0,1.0,,Robot2,3,verifier,reaction_time,0.006154443,Robot
8,20000.0,1.0,,Robot2,3,verifier,result_call,0.01239466,Robot
8,20000.0,1.0,,Robot2,3,verifier,signatures_fetch,0.0035731480000000004,Robot
8,20000.0,1.0,,Robot2,3,verifier,total_lifecycle,0.015790322,Robot
8,20000.0,1.0,,Robot2,3,verifier,verify_compute,2.268e-06,Robot
8,20000.0,1.0,,Robot3,1,prover,e2e_blockchain,5.2805334915,Robot
8,20000.0,1.0,,Robot3,1,prover,evidence_call,0.010202450500000002,Robot
8,20000.0,1.0,,Robot3,1,prover,total_lifecycle,5.2994279615,Robot
8,20000.0,1.0,,Robot3,1,verifier,reaction_time,0.0038361800000000002,Robot
8,20000.0,1.0,,Robot3,1,verifier,result_call,0.011567464,Robot
8,20000.0,1.0,,Robot3,1,verifier,signatures_fetch,0.0025792600000000003,Robot
8,20000.0,1.0,,Robot3,1,verifier,total_lifecycle,0.014167364,Robot
8,20000.0,1.0,,Robot3,1,verifier,verify_compute,1.769e-06,Robot
8,20000.0,1.0,,Robot3,2,prover,e2e_blockchain,4.8637291805,Robot
8,20000.0,1.0,,Robot3,2,prover,evidence_call,0.013578739499999999,Robot
8,20000.0,1.0,,Robot3,2,prover,total_lifecycle,4.880153124,Robot
8,20000.0,1.0,,Robot3,2,verifier,reaction_time,0.0033715409999999996,Robot
8,20000.0,1.0,,Robot3,2,verifier,result_call,0.0142573985,Robot
8,20000.0,1.0,,Robot3,2,verifier,signatures_fetch,0.003068541,Robot
8,20000.0,1.0,,Robot3,2,verifier,total_lifecycle,0.0169267765,Robot
8,20000.0,1.0,,Robot3,2,verifier,verify_compute,2.0630000000000004e-06,Robot
8,20000.0,1.0,,Robot3,3,prover,e2e_blockchain,5.1831491505,Robot
8,20000.0,1.0,,Robot3,3,prover,evidence_call,0.0078605335,Robot
8,20000.0,1.0,,Robot3,3,prover,total_lifecycle,5.19894212,Robot
8,20000.0,1.0,,Robot3,3,verifier,reaction_time,0.002508232,Robot
8,20000.0,1.0,,Robot3,3,verifier,result_call,0.007326274,Robot
