participant,role,step,duration_s,run,attestation_id
Robot1,Verifier,verification_logic,0.0,3,attestation7677075981319
Robot1,Verifier,verification_logic,0.0,3,attestation7677076354836
Robot1,Verifier,verification_logic,0.0,3,attestation7677076533846
Robot1,Verifier,verification_logic,0.0,3,attestation7677077093591
Robot1,Verifier,verification_logic,0.0,3,attestation7677077099780
Robot1,Verifier,verification_logic,0.0,4,attestation7677078001357
Robot1,Verifier,verification_logic,0.0,4,attestation7677078375224
Robot1,Verifier,verification_logic,0.0,4,attestation7677078366827
Robot1,Verifier,verification_logic,0.0,4,attestation7677078551687
Robot1,Verifier,verification_logic,0.0,4,attestation7677078734006
Robot1,Verifier,verification_logic,0.0,4,attestation7677078737629
Robot1,Verifier,verification_logic,0.0,4,attestation7677078739095
Robot1,Verifier,verification_logic,0.0,4,attestation7677078922382
Robot1,Verifier,verification_logic,0.0,4,attestation7677078929753
Robot1,Verifier,verification_logic,0.0,4,attestation7677079108211
Robot1,Verifier,verification_logic,0.0,4,attestation7677079285859
Robot1,Verifier,verification_logic,0.0,5,attestation7677080562555
Robot1,Verifier,verification_logic,0.0,5,attestation7677080568222
Robot1,Verifier,verification_logic,0.0,5,attestation7677080754288
Robot1,Verifier,verification_logic,0.0,5,attestation7677080938466
Robot1,Verifier,verification_logic,0.0,5,attestation7677080932420
Robot1,Verifier,verification_logic,0.0,5,attestation7677081483091
Robot2,Verifier,blockchain_read,0.096,1,attestation7677071594304
Robot2,Verifier,blockchain_read,0.091,1,attestation7677071584790
Robot2,Verifier,blockchain_read,0.168,1,attestation7677071775234
Robot2,Verifier,blockchain_read,0.165,1,attestation7677071964038
Robot2,Verifier,blockchain_read,0.029,1,attestation7677072146823
Robot2,Verifier,blockchain_read,0.014,1,attestation7677072698555
Robot2,Verifier,blockchain_read,0.11800000000000001,2,attestation7677073592522
Robot2,Verifier,blockchain_read,0.017,2,attestation7677073602893
Robot2,Verifier,blockchain_read,0.018000000000000002,2,attestation7677073773780
Robot2,Verifier,blockchain_read,0.075,2,attestation7677073964652
Robot2,Verifier,blockchain_read,0.018000000000000002,2,attestation7677073964344
Robot2,Verifier,blockchain_read,0.094,2,attestation7677074332609
Robot2,Verifier,blockchain_read,0.014,2,attestation7677074337728
Robot2,Verifier,blockchain_read,0.08600000000000001,2,attestation7677074888216
Robot2,Verifier,blockchain_read,0.08,3,attestation7677075985723
Robot2,Verifier,blockchain_read,0.025,3,attestation7677076163821
Robot2,Verifier,blockchain_read,0.08700000000000001,3,attestation7677076536090
Robot2,Verifier,blockchain_read,0.097,3,attestation7677076721297
Robot2,Verifier,blockchain_read,0.106,3,attestation7677076723217
Robot2,Verifier,blockchain_read,0.085,3,attestation7677076904222
Robot2,Verifier,blockchain_read,0.171,3,attestation7677076907297
Robot2,Verifier,blockchain_read,0.101,3,attestation7677077096758
Robot2,Verifier,blockchain_read,0.014,3,attestation7677077096491
Robot2,Verifier,blockchain_read,0.025,4,attestation7677078188656
Robot2,Verifier,blockchain_read,0.014,4,attestation7677078189276
Robot2,Verifier,blockchain_read,0.192,4,attestation7677078367544
Robot2,Verifier,blockchain_read,0.10200000000000001,4,attestation7677078553046
Robot2,Verifier,blockchain_read,0.11,4,attestation7677079299206
Robot2,Verifier,blockchain_read,0.114,5,attestation7677080193151
Robot2,Verifier,blockchain_read,0.181,5,attestation7677080194691
Robot2,Verifier,blockchain_read,0.017,5,attestation7677080376198
Robot2,Verifier,blockchain_read,0.015,5,attestation7677080371950
Robot2,Verifier,blockchain_read,0.183,5,attestation7677080566544
Robot2,Verifier,blockchain_read,0.076,5,attestation7677080921470
Robot2,Verifier,blockchain_read,0.088,5,attestation7677081118201
Robot2,Verifier,blockchain_read,0.10300000000000001,5,attestation7677081306360
Robot2,Verifier,blockchain_read,0.08,5,attestation7677081476765
Robot2,Verifier,total_verifier,0.221,1,attestation7677071594304
Robot2,Verifier,total_verifier,0.202,1,attestation7677071584790
Robot2,Verifier,total_verifier,0.279,1,attestation7677071775234
Robot2,Verifier,total_verifier,0.197,1,attestation7677071964038
Robot2,Verifier,total_verifier,0.10300000000000001,1,attestation7677072146823
Robot2,Verifier,total_verifier,0.12,1,attestation7677072698555
Robot2,Verifier,total_verifier,0.209,2,attestation7677073592522
Robot2,Verifier,total_verifier,0.088,2,attestation7677073602893
Robot2,Verifier,total_verifier,0.17200000000000001,2,attestation7677073773780
Robot2,Verifier,total_verifier,0.304,2,attestation7677073964652
Robot2,Verifier,total_verifier,0.585,2,attestation7677073964344
Robot2,Verifier,total_verifier,0.2,2,attestation7677074332609
Robot2,Verifier,total_verifier,0.608,2,attestation7677074337728
Robot2,Verifier,total_verifier,0.219,2,attestation7677074888216
Robot2,Verifier,total_verifier,0.256,3,attestation7677075985723
Robot2,Verifier,total_verifier,0.124,3,attestation7677076163821
Robot2,Verifier,total_verifier,0.178,3,attestation7677076536090
Robot2,Verifier,total_verifier,0.198,3,attestation7677076721297
Robot2,Verifier,total_verifier,0.6960000000000001,3,attestation7677076723217
Robot2,Verifier,total_verifier,0.107,3,attestation7677076904222
Robot2,Verifier,total_verifier,0.502,3,attestation7677076907297
Robot2,Verifier,total_verifier,0.391,3,attestation7677077096758
Robot2,Verifier,total_verifier,0.342,3,attestation7677077096491
Robot2,Verifier,total_verifier,0.062,4,attestation7677078188656
Robot2,Verifier,total_verifier,0.224,4,attestation7677078189276
Robot2,Verifier,total_verifier,0.279,4,attestation7677078367544
Robot2,Verifier,total_verifier,0.17,4,attestation7677078553046
Robot2,Verifier,total_verifier,0.136,4,attestation7677079299206
Robot2,Verifier,total_verifier,0.403,5,attestation7677080193151
Robot2,Verifier,total_verifier,0.251,5,attestation7677080194691
Robot2,Verifier,total_verifier,0.075,5,attestation7677080376198
Robot2,Verifier,total_verifier,0.105,5,attestation7677080371950
Robot2,Verifier,total_verifier,0.212,5,attestation7677080566544
Robot2,Verifier,total_verifier,0.166,5,attestation7677080921470
Robot2,Verifier,total_verifier,0.368,5,attestation7677081118201
Robot2,Verifier,total_verifier,0.14300000000000002,5,attestation7677081306360
Robot2,Verifier,total_verifier,0.17,5,attestation7677081476765
Robot2,Verifier,verification_logic,0.0,1,attestation7677071594304
Robot2,Verifier,verification_logic,0.0,1,attestation7677071584790
Robot2,Verifier,verification_logic,0.0,1,attestation7677071775234
Robot2,Verifier,verification_logic,0.0,1,attestation7677071964038
Robot2,Verifier,verification_logic,0.0,1,attestation7677072146823
Robot2,Verifier,verification_logic,0.0,1,attestation7677072698555
Robot2,Verifier,verification_logic,0.0,2,attestation7677073592522
Robot2,Verifier,verification_logic,0.0,2,attestation7677073602893
Robot2,Verifier,verification_logic,0.0,2,attestation7677073773780
Robot2,Verifier,verification_logic,0.0,2,attestation7677073964652
Robot2,Verifier,verification_logic,0.0,2,attestation7677073964344
Robot2,Verifier,verification_logic,0.0,2,attestation7677074332609
Robot2,Verifier,verification_logic,0.0,2,attestation7677074337728
Robot2,Verifier,verification_logic,0.0,2,attestation7677074888216
Robot2,Verifier,verification_logic,0.0,3,attestation7677075985723
Robot2,Verifier,verification_logic,0.0,3,attestation7677076163821
Robot2,Verifier,verification_logic,0.0,3,attestation7677076536090
Robot2,Verifier,verification_logic,0.0,3,attestation7677076721297
Robot2,Verifier,verification_logic,0.0,3,attestation7677076723217
Robot2,Verifier,verification_logic,0.0,3,attestation7677076904222
Robot2,Verifier,verification_logic,0.0,3,attestation7677076907297
Robot2,Verifier,verification_logic,0.0,3,attestation7677077096758
Robot2,Verifier,verification_logic,0.0,3,attestation7677077096491
Robot2,Verifier,verification_logic,0.0,4,attestation7677078188656
Robot2,Verifier,verification_logic,0.0,4,attestation7677078189276
Robot2,Verifier,verification_logic,0.0,4,attestation7677078367544
Robot2,Verifier,verification_logic,0.0,4,attestation7677078553046
Robot2,Verifier,verification_logic,0.0,4,attestation7677079299206
Robot2,Verifier,verification_logic,0.0,5,attestation7677080193151
Robot2,Verifier,verification_logic,0.0,5,attestation7677080194691
Robot2,Verifier,verification_logic,0.0,5,attestation7677080376198
Robot2,Verifier,verification_logic,0.0,5,attestation7677080371950
Robot2,Verifier,verification_logic,0.0,5,attestation7677080566544
Robot2,Verifier,verification_logic,0.0,5,attestation7677080921470
Robot2,Verifier,verification_logic,0.0,5,attestation7677081118201
Robot2,Verifier,verification_logic,0.0,5,attestation7677081306360
Robot2,Verifier,verification_logic,0.0,5,attestation7677081476765
Robot3,Verifier,blockchain_read,0.193,1,attestation7677071407600
Robot3,Verifier,blockchain_read,0.169,1,attestation7677071599265
