n_robots,ssp_ms,iterq,cpu_limit,participant,run,role,metric,run_median_s,run_mean_s,participant_group
4,20000.0,1.0,,Robot2,4,verifier,reaction_time,0.013641368,0.011749201333333334,Robot
4,20000.0,1.0,,Robot2,4,verifier,result_call,0.005021614,0.0063720063333333335,Robot
4,20000.0,1.0,,Robot2,4,verifier,signatures_fetch,0.001871086,0.002015091,Robot
4,20000.0,1.0,,Robot2,4,verifier,total_lifecycle,0.006910815000000001,0.008413097,Robot
4,20000.0,1.0,,Robot2,4,verifier,verify_compute,2.0869999999999997e-06,2.151333333333333e-06,Robot
4,20000.0,1.0,,Robot2,5,prover,e2e_blockchain,5.082122636,5.0505867145000005,Robot
4,20000.0,1.0,,Robot2,5,prover,evidence_call,0.0120533795,0.012208636,Robot
4,20000.0,1.0,,Robot2,5,prover,total_lifecycle,5.0936403175,5.062590951333333,Robot
4,20000.0,1.0,,Robot3,1,prover,e2e_blockchain,4.5163423155,4.5209555925,Robot
4,20000.0,1.0,,Robot3,1,prover,evidence_call,0.014796871500000001,0.016988221166666668,Robot
4,20000.0,1.0,,Robot3,1,prover,total_lifecycle,4.531823470999999,4.534869186,Robot
4,20000.0,1.0,,Robot3,1,verifier,reaction_time,0.013292946,0.012130986666666668,Robot
4,20000.0,1.0,,Robot3,1,verifier,result_call,0.0084174,0.008474391,Robot
4,20000.0,1.0,,Robot3,1,verifier,signatures_fetch,0.002936792,0.003018079,Robot
4,20000.0,1.0,,Robot3,1,verifier,total_lifecycle,0.011691329,0.011513513333333331,Robot
4,20000.0,1.0,,Robot3,1,verifier,verify_compute,1.073e-06,1.4716666666666666e-06,Robot
4,20000.0,1.0,,Robot3,2,prover,e2e_blockchain,4.3017039415,4.431037692333334,Robot
4,20000.0,1.0,,Robot3,2,prover,evidence_call,0.0119625225,0.011573077833333334,Robot
4,20000.0,1.0,,Robot3,2,prover,total_lifecycle,4.3140835165,4.443387406666667,Robot
4,20000.0,1.0,,Robot3,2,verifier,reaction_time,0.015999684,0.01430570511111111,Robot
4,20000.0,1.0,,Robot3,2,verifier,result_call,0.009005352,0.010038824666666666,Robot
4,20000.0,1.0,,Robot3,2,verifier,signatures_fetch,0.002581364,0.0025550005555555555,Robot
4,20000.0,1.0,,Robot3,2,verifier,total_lifecycle,0.011703354,0.012616384555555556,Robot
4,20000.0,1.0,,Robot3,2,verifier,verify_compute,1.116e-06,1.2974444444444445e-06,Robot
4,20000.0,1.0,,Robot3,3,prover,e2e_blockchain,4.7739479854999995,4.308164539833333,Robot
4,20000.0,1.0,,Robot3,3,prover,evidence_call,0.0084176145,0.008034881333333334,Robot
4,20000.0,1.0,,Robot3,3,prover,total_lifecycle,4.7847991279999995,4.320122442166666,Robot
4,20000.0,1.0,,Robot3,3,verifier,reaction_time,0.011391071499999999,0.011067256166666666,Robot
4,20000.0,1.0,,Robot3,3,verifier,result_call,0.007281139,0.007617340333333333,Robot
4,20000.0,1.0,,Robot3,3,verifier,signatures_fetch,0.0021010910000000002,0.0020391611666666664,Robot
4,20000.0,1.0,,Robot3,3,verifier,total_lifecycle,0.009580720000000001,0.009683961333333333,Robot
4,20000.0,1.0,,Robot3,3,verifier,verify_compute,1.7835e-06,1.8474999999999999e-06,Robot
4,20000.0,1.0,,Robot3,4,prover,e2e_blockchain,4.172763905,4.1706355815,Robot
4,20000.0,1.0,,Robot3,4,prover,evidence_call,0.0079818395,0.008673269833333334,Robot
4,20000.0,1.0,,Robot3,4,prover,total_lifecycle,4.184330455,4.182674140333333,Robot
4,20000.0,1.0,,Robot3,4,verifier,reaction_time,0.011073247999999999,0.010114326222222223,Robot
4,20000.0,1.0,,Robot3,4,verifier,result_call,0.007339391,0.009370385,Robot
4,20000.0,1.0,,Robot3,4,verifier,signatures_fetch,0.001715309,0.0017140925555555555,Robot
4,20000.0,1.0,,Robot3,4,verifier,total_lifecycle,0.009096119,0.011109851111111112,Robot
4,20000.0,1.0,,Robot3,4,verifier,verify_compute,1.8730000000000001e-06,1.685e-06,Robot
4,20000.0,1.0,,Robot3,5,prover,e2e_blockchain,4.870194713,4.4018797518333335,Robot
4,20000.0,1.0,,Robot3,5,prover,evidence_call,0.006993881,0.009125529833333333,Robot
4,20000.0,1.0,,Robot3,5,prover,total_lifecycle,4.882408041,4.413642599,Robot
4,20000.0,1.0,,Robot3,5,verifier,reaction_time,0.014421872500000002,0.01266106816666667,Robot
4,20000.0,1.0,,Robot3,5,verifier,result_call,0.0071595275,0.00774994,Robot
4,20000.0,1.0,,Robot3,5,verifier,signatures_fetch,0.0018833625,0.0018933728333333335,Robot
4,20000.0,1.0,,Robot3,5,verifier,total_lifecycle,0.009076233,0.009671746833333333,Robot
4,20000.0,1.0,,Robot3,5,verifier,verify_compute,1.657e-06,1.6545e-06,Robot
4,20000.0,1.0,,Robot4,1,prover,e2e_blockchain,4.747454121500001,4.527710373333334,Robot
4,20000.0,1.0,,Robot4,1,prover,evidence_call,0.018336124000000002,0.018562188,Robot
4,20000.0,1.0,,Robot4,1,prover,total_lifecycle,4.7667013465,4.542754751,Robot
4,20000.0,1.0,,Robot4,1,verifier,reaction_time,0.01579955,0.01683658,Robot
4,20000.0,1.0,,Robot4,1,verifier,result_call,0.010894311,0.011156858666666667,Robot
4,20000.0,1.0,,Robot4,1,verifier,signatures_fetch,0.003995253,0.004031387666666666,Robot
4,20000.0,1.0,,Robot4,1,verifier,total_lifecycle,0.014941789,0.015214145666666666,Robot
4,20000.0,1.0,,Robot4,1,verifier,verify_compute,1.767e-06,1.658e-06,Robot
4,20000.0,1.0,,Robot4,2,prover,e2e_blockchain,5.5258689175,5.384130916166666,Robot
4,20000.0,1.0,,Robot4,2,prover,evidence_call,0.0164341955,0.017663679666666664,Robot
4,20000.0,1.0,,Robot4,2,prover,total_lifecycle,5.5375167615,5.397301559333333,Robot
4,20000.0,1.0,,Robot4,3,prover,e2e_blockchain,3.9901758425,3.9896349975,Robot
4,20000.0,1.0,,Robot4,3,prover,evidence_call,0.016123873499999997,0.018172324,Robot
4,20000.0,1.0,,Robot4,3,prover,total_lifecycle,4.001302337,4.0012983965,Robot
4,20000.0,1.0,,Robot4,3,verifier,reaction_time,0.016267261,0.016445486444444445,Robot
4,20000.0,1.0,,Robot4,3,verifier,result_call,0.008417392,0.009910259,Robot
4,20000.0,1.0,,Robot4,3,verifier,signatures_fetch,0.003211873,0.0031161080000000002,Robot
4,20000.0,1.0,,Robot4,3,verifier,total_lifecycle,0.012845871,0.013052043666666667,Robot
4,20000.0,1.0,,Robot4,3,verifier,verify_compute,2.159e-06,2.0792222222222223e-06,Robot
4,20000.0,1.0,,Robot4,4,prover,e2e_blockchain,5.210520613,5.200736479666666,Robot
4,20000.0,1.0,,Robot4,4,prover,evidence_call,0.012095334499999999,0.014433393000000001,Robot
