n_robots,mode,participant,run,role,metric,run_mean_s,participant_group
10,continuous,Robot1,3,verifier,verify_compute,6.727777777777777e-07,Robot
10,continuous,Robot1,4,prover,e2e_blockchain,5.093048747818182,Robot
10,continuous,Robot1,4,prover,evidence_call,0.015570879,Robot
10,continuous,Robot1,4,prover,total_lifecycle,5.304921602363636,Robot
10,continuous,Robot1,4,verifier,reaction_time,0.004561448142857143,Robot
10,continuous,Robot1,4,verifier,result_call,0.012804261714285715,Robot
10,continuous,Robot1,4,verifier,signatures_fetch,0.002556934,Robot
10,continuous,Robot1,4,verifier,total_lifecycle,0.015447717714285714,Robot
10,continuous,Robot1,4,verifier,verify_compute,6.918571428571429e-07,Robot
10,continuous,Robot1,5,prover,e2e_blockchain,5.2118534601818185,Robot
10,continuous,Robot1,5,prover,evidence_call,0.015498146,Robot
10,continuous,Robot1,5,prover,total_lifecycle,5.416387523363636,Robot
10,continuous,Robot1,5,verifier,reaction_time,0.008566257066666666,Robot
10,continuous,Robot1,5,verifier,result_call,0.011274468933333334,Robot
10,continuous,Robot1,5,verifier,signatures_fetch,0.0023543569333333335,Robot
10,continuous,Robot1,5,verifier,total_lifecycle,0.013706498466666666,Robot
10,continuous,Robot1,5,verifier,verify_compute,6.509333333333333e-07,Robot
10,continuous,Robot10,1,prover,e2e_blockchain,5.191647834181818,Robot
10,continuous,Robot10,1,prover,evidence_call,0.01414723209090909,Robot
10,continuous,Robot10,1,prover,total_lifecycle,5.401890196090909,Robot
10,continuous,Robot10,1,verifier,reaction_time,0.008475995153846155,Robot
10,continuous,Robot10,1,verifier,result_call,0.02054213253846154,Robot
10,continuous,Robot10,1,verifier,signatures_fetch,0.005593850692307693,Robot
10,continuous,Robot10,1,verifier,total_lifecycle,0.026214163,Robot
10,continuous,Robot10,1,verifier,verify_compute,7.768461538461538e-07,Robot
10,continuous,Robot10,2,prover,e2e_blockchain,5.117976057727272,Robot
10,continuous,Robot10,2,prover,evidence_call,0.012064107272727274,Robot
10,continuous,Robot10,2,prover,total_lifecycle,5.317857234363636,Robot
10,continuous,Robot10,2,verifier,reaction_time,0.005036814083333333,Robot
10,continuous,Robot10,2,verifier,result_call,0.023608151583333334,Robot
10,continuous,Robot10,2,verifier,signatures_fetch,0.007081642583333333,Robot
10,continuous,Robot10,2,verifier,total_lifecycle,0.030772930666666667,Robot
10,continuous,Robot10,2,verifier,verify_compute,6.596666666666667e-07,Robot
10,continuous,Robot10,3,prover,e2e_blockchain,4.881283065818182,Robot
10,continuous,Robot10,3,prover,evidence_call,0.010847335000000001,Robot
10,continuous,Robot10,3,prover,total_lifecycle,5.074088885818182,Robot
10,continuous,Robot10,3,verifier,reaction_time,0.0032441019230769227,Robot
10,continuous,Robot10,3,verifier,result_call,0.012812499846153846,Robot
10,continuous,Robot10,3,verifier,signatures_fetch,0.004540301076923077,Robot
10,continuous,Robot10,3,verifier,total_lifecycle,0.01743655223076923,Robot
10,continuous,Robot10,3,verifier,verify_compute,7.481538461538461e-07,Robot
10,continuous,Robot10,4,prover,e2e_blockchain,5.240880211454546,Robot
10,continuous,Robot10,4,prover,evidence_call,0.014790794727272728,Robot
10,continuous,Robot10,4,prover,total_lifecycle,5.426899589454546,Robot
10,continuous,Robot10,4,verifier,reaction_time,0.0049985431,Robot
10,continuous,Robot10,4,verifier,result_call,0.0097110975,Robot
10,continuous,Robot10,4,verifier,signatures_fetch,0.0020516564,Robot
10,continuous,Robot10,4,verifier,total_lifecycle,0.0118583123,Robot
10,continuous,Robot10,4,verifier,verify_compute,2.2618e-06,Robot
10,continuous,Robot10,5,prover,e2e_blockchain,4.916434043181818,Robot
10,continuous,Robot10,5,prover,evidence_call,0.016591945181818182,Robot
10,continuous,Robot10,5,prover,total_lifecycle,5.0782323997272725,Robot
10,continuous,Robot10,5,verifier,reaction_time,0.005650468916666666,Robot
10,continuous,Robot10,5,verifier,result_call,0.012351538333333334,Robot
10,continuous,Robot10,5,verifier,signatures_fetch,0.0025091444999999998,Robot
10,continuous,Robot10,5,verifier,total_lifecycle,0.014931137583333332,Robot
10,continuous,Robot10,5,verifier,verify_compute,2.0816666666666665e-06,Robot
10,continuous,Robot2,1,prover,e2e_blockchain,4.983708959272727,Robot
10,continuous,Robot2,1,prover,evidence_call,0.014462385909090908,Robot
10,continuous,Robot2,1,prover,total_lifecycle,5.173974720363637,Robot
10,continuous,Robot2,1,verifier,reaction_time,0.007760416083333333,Robot
10,continuous,Robot2,1,verifier,result_call,0.01815844,Robot
10,continuous,Robot2,1,verifier,signatures_fetch,0.006414216833333333,Robot
10,continuous,Robot2,1,verifier,total_lifecycle,0.02468322225,Robot
10,continuous,Robot2,1,verifier,verify_compute,8.540000000000001e-07,Robot
10,continuous,Robot2,2,prover,e2e_blockchain,5.151883644000001,Robot
10,continuous,Robot2,2,prover,evidence_call,0.010607886727272727,Robot
10,continuous,Robot2,2,prover,total_lifecycle,5.348837341272727,Robot
10,continuous,Robot2,2,verifier,reaction_time,0.005726047333333334,Robot
10,continuous,Robot2,2,verifier,result_call,0.019823102333333332,Robot
10,continuous,Robot2,2,verifier,signatures_fetch,0.0049454995,Robot
10,continuous,Robot2,2,verifier,total_lifecycle,0.02484159,Robot
10,continuous,Robot2,2,verifier,verify_compute,6.42e-07,Robot
10,continuous,Robot2,3,prover,e2e_blockchain,4.979485909818181,Robot
10,continuous,Robot2,3,prover,evidence_call,0.011583607000000001,Robot
10,continuous,Robot2,3,prover,total_lifecycle,5.139514717818182,Robot
10,continuous,Robot2,3,verifier,reaction_time,0.0031942233076923078,Robot
10,continuous,Robot2,3,verifier,result_call,0.011893586923076923,Robot
10,continuous,Robot2,3,verifier,signatures_fetch,0.0020406416923076922,Robot
10,continuous,Robot2,3,verifier,total_lifecycle,0.014016760692307692,Robot
10,continuous,Robot2,3,verifier,verify_compute,7.63923076923077e-07,Robot
10,continuous,Robot2,4,prover,e2e_blockchain,5.173024351909091,Robot
10,continuous,Robot2,4,prover,evidence_call,0.023387230000000002,Robot
10,continuous,Robot2,4,prover,total_lifecycle,5.395005519272727,Robot
10,continuous,Robot2,4,verifier,reaction_time,0.009669225714285716,Robot
10,continuous,Robot2,4,verifier,result_call,0.01402763407142857,Robot
10,continuous,Robot2,4,verifier,signatures_fetch,0.002034651071428571,Robot
10,continuous,Robot2,4,verifier,total_lifecycle,0.016135911,Robot
10,continuous,Robot2,4,verifier,verify_compute,1.3542142857142857e-06,Robot
10,continuous,Robot2,5,prover,e2e_blockchain,5.243871553545454,Robot
10,continuous,Robot2,5,prover,evidence_call,0.016128301,Robot
10,continuous,Robot2,5,prover,total_lifecycle,5.484833222,Robot
10,continuous,Robot2,5,verifier,reaction_time,0.007024207750000001,Robot
10,continuous,Robot2,5,verifier,result_call,0.012214979583333334,Robot
10,continuous,Robot2,5,verifier,signatures_fetch,0.00325496625,Robot
10,continuous,Robot2,5,verifier,total_lifecycle,0.015555186166666665,Robot
10,continuous,Robot2,5,verifier,verify_compute,7.559999999999999e-07,Robot
10,continuous,Robot3,1,prover,e2e_blockchain,5.042195682909091,Robot
10,continuous,Robot3,1,prover,evidence_call,0.01677181836363636,Robot
10,continuous,Robot3,1,prover,total_lifecycle,5.233024758454546,Robot
10,continuous,Robot3,1,verifier,reaction_time,0.012535068,Robot
10,continuous,Robot3,1,verifier,result_call,0.018040240818181816,Robot
10,continuous,Robot3,1,verifier,signatures_fetch,0.004641515454545455,Robot
10,continuous,Robot3,1,verifier,total_lifecycle,0.022759046363636362,Robot
10,continuous,Robot3,1,verifier,verify_compute,7.113636363636364e-07,Robot
10,continuous,Robot3,2,prover,e2e_blockchain,5.265470386181819,Robot
10,continuous,Robot3,2,prover,evidence_call,0.01636061109090909,Robot
10,continuous,Robot3,2,prover,total_lifecycle,5.4624046139999995,Robot
