n_robots,participant,run,role,metric,duration_s
16,Robot13,2,prover,evidence_call,0.010736266999999999
16,Robot13,2,prover,total_lifecycle,2.688560395
16,Robot13,3,prover,e2e_blockchain,3.34130661
16,Robot13,3,prover,evidence_call,0.011168760000000002
16,Robot13,3,prover,total_lifecycle,3.353471615
16,Robot13,4,prover,e2e_blockchain,2.8804202759999997
16,Robot13,4,prover,evidence_call,0.007995586
16,Robot13,4,prover,total_lifecycle,2.895370941
16,Robot13,5,prover,e2e_blockchain,3.5424317700000003
16,Robot13,5,prover,evidence_call,0.015814635
16,Robot13,5,prover,total_lifecycle,3.553806475
16,Robot13,6,prover,e2e_blockchain,3.199021478
16,Robot13,6,prover,evidence_call,0.01317882
16,Robot13,6,prover,total_lifecycle,3.212613459
16,Robot13,7,prover,e2e_blockchain,2.8470396019999997
16,Robot13,7,prover,evidence_call,0.026678179
16,Robot13,7,prover,total_lifecycle,2.8572219199999997
16,Robot13,8,prover,e2e_blockchain,3.479972351
16,Robot13,8,prover,evidence_call,0.011424398
16,Robot13,8,prover,total_lifecycle,3.493709671
16,Robot13,9,prover,e2e_blockchain,3.1500826870000003
16,Robot13,9,prover,evidence_call,0.009028093000000001
16,Robot13,9,prover,total_lifecycle,3.160876673
16,Robot14,1,prover,e2e_blockchain,3.1652572300000004
16,Robot14,1,prover,evidence_call,0.14529666700000002
16,Robot14,1,prover,total_lifecycle,3.1790918660000003
16,Robot14,10,prover,e2e_blockchain,2.81788659
16,Robot14,10,prover,evidence_call,0.015783939
16,Robot14,10,prover,total_lifecycle,2.828638483
16,Robot14,2,prover,e2e_blockchain,2.6484017
16,Robot14,2,prover,evidence_call,0.016692908
16,Robot14,2,prover,total_lifecycle,2.664440192
16,Robot14,3,prover,e2e_blockchain,3.3050946600000004
16,Robot14,3,prover,evidence_call,0.016050358
16,Robot14,3,prover,total_lifecycle,3.31820775
16,Robot14,4,prover,e2e_blockchain,2.883794691
16,Robot14,4,prover,evidence_call,0.011298948
16,Robot14,4,prover,total_lifecycle,2.8982649350000003
16,Robot14,5,prover,e2e_blockchain,3.539995283
16,Robot14,5,prover,evidence_call,0.013551248
16,Robot14,5,prover,total_lifecycle,3.554760933
16,Robot14,6,prover,e2e_blockchain,3.204207907
16,Robot14,6,prover,evidence_call,0.022421123
16,Robot14,6,prover,total_lifecycle,3.2163823910000002
16,Robot14,7,prover,e2e_blockchain,2.848798222
16,Robot14,7,prover,evidence_call,0.014428274
16,Robot14,7,prover,total_lifecycle,2.86262273
16,Robot14,8,prover,e2e_blockchain,3.477864728
16,Robot14,8,prover,evidence_call,0.010271526
16,Robot14,8,prover,total_lifecycle,3.49236447
16,Robot14,9,prover,e2e_blockchain,3.123078941
16,Robot14,9,prover,evidence_call,0.014128761
16,Robot14,9,prover,total_lifecycle,3.134685959
16,Robot15,1,prover,e2e_blockchain,5.069961962000001
16,Robot15,1,prover,evidence_call,0.046883685
16,Robot15,1,prover,total_lifecycle,5.081300918
16,Robot15,10,prover,e2e_blockchain,2.82417894
16,Robot15,10,prover,evidence_call,0.010180957
16,Robot15,10,prover,total_lifecycle,2.837419071
16,Robot15,2,prover,e2e_blockchain,2.683261826
16,Robot15,2,prover,evidence_call,0.016162268
16,Robot15,2,prover,total_lifecycle,2.706936768
16,Robot15,3,prover,e2e_blockchain,3.31982037
16,Robot15,3,prover,evidence_call,0.011969906
16,Robot15,3,prover,total_lifecycle,3.332903097
16,Robot15,4,prover,e2e_blockchain,2.903883581
16,Robot15,4,prover,evidence_call,0.011833891
16,Robot15,4,prover,total_lifecycle,2.917054329
16,Robot15,5,prover,e2e_blockchain,3.567678564
16,Robot15,5,prover,evidence_call,0.009953305
16,Robot15,5,prover,total_lifecycle,3.578284759
16,Robot15,6,prover,e2e_blockchain,3.208711174
16,Robot15,6,prover,evidence_call,0.014533725
16,Robot15,6,prover,total_lifecycle,3.2199156859999998
16,Robot15,7,prover,e2e_blockchain,2.853543378
16,Robot15,7,prover,evidence_call,0.013631911
16,Robot15,7,prover,total_lifecycle,2.864751236
16,Robot15,8,prover,e2e_blockchain,3.500232757
16,Robot15,8,prover,evidence_call,0.010922774
16,Robot15,8,prover,total_lifecycle,3.5104342109999997
16,Robot15,9,prover,e2e_blockchain,3.1256375849999998
16,Robot15,9,prover,evidence_call,0.009269085
16,Robot15,9,prover,total_lifecycle,3.136618418
16,Robot16,1,prover,e2e_blockchain,5.047928696
16,Robot16,1,prover,evidence_call,0.051960093
16,Robot16,1,prover,total_lifecycle,5.061447847999999
16,Robot16,10,prover,e2e_blockchain,2.8308643
16,Robot16,10,prover,evidence_call,0.015514226
16,Robot16,10,prover,total_lifecycle,2.84324545
16,Robot16,2,prover,e2e_blockchain,2.664157841
16,Robot16,2,prover,evidence_call,0.014224222
16,Robot16,2,prover,total_lifecycle,2.679032497
16,Robot16,3,prover,e2e_blockchain,3.326739666
16,Robot16,3,prover,evidence_call,0.016943325999999998
16,Robot16,3,prover,total_lifecycle,3.338452788
16,Robot16,4,prover,e2e_blockchain,2.868442057
16,Robot16,4,prover,evidence_call,0.009520014
16,Robot16,4,prover,total_lifecycle,2.879933575
16,Robot16,5,prover,e2e_blockchain,3.554661495
16,Robot16,5,prover,evidence_call,0.011172205
16,Robot16,5,prover,total_lifecycle,3.564187196
16,Robot16,6,prover,e2e_blockchain,3.199867288
16,Robot16,6,prover,evidence_call,0.012913591
16,Robot16,6,prover,total_lifecycle,3.208856301
16,Robot16,7,prover,e2e_blockchain,2.844992635
16,Robot16,7,prover,evidence_call,0.03354221600000001
16,Robot16,7,prover,total_lifecycle,2.856066704
16,Robot16,8,prover,e2e_blockchain,3.4635396569999997
16,Robot16,8,prover,evidence_call,0.008746335000000001
16,Robot16,8,prover,total_lifecycle,3.473834501
16,Robot16,9,prover,e2e_blockchain,3.1271416559999996
16,Robot16,9,prover,evidence_call,0.014219911
16,Robot16,9,prover,total_lifecycle,3.1382711370000003
16,Robot2,1,prover,e2e_blockchain,3.190035862
16,Robot2,1,prover,evidence_call,0.176036375
16,Robot2,1,prover,total_lifecycle,3.210635255
16,Robot2,10,prover,e2e_blockchain,2.8343689899999998
16,Robot2,10,prover,evidence_call,0.018817347
16,Robot2,10,prover,total_lifecycle,2.854109532
16,Robot2,2,prover,e2e_blockchain,2.741705906
16,Robot2,2,prover,evidence_call,0.009174726
16,Robot2,2,prover,total_lifecycle,2.7595101370000004
16,Robot2,3,prover,e2e_blockchain,3.3662257209999997
16,Robot2,3,prover,evidence_call,0.027015176000000002
16,Robot2,3,prover,total_lifecycle,3.382791637
16,Robot2,4,prover,e2e_blockchain,2.971792133
16,Robot2,4,prover,evidence_call,0.026065451
16,Robot2,4,prover,total_lifecycle,2.986600101
16,Robot2,5,prover,e2e_blockchain,3.591155004
16,Robot2,5,prover,evidence_call,0.011179285
16,Robot2,5,prover,total_lifecycle,3.607195431
16,Robot2,6,prover,e2e_blockchain,3.243391152
16,Robot2,6,prover,evidence_call,0.01757988
16,Robot2,6,prover,total_lifecycle,3.2575569829999997
16,Robot2,7,prover,e2e_blockchain,2.893589923
16,Robot2,7,prover,evidence_call,0.015137598
16,Robot2,7,prover,total_lifecycle,2.911357518
16,Robot2,8,prover,e2e_blockchain,3.511794852
16,Robot2,8,prover,evidence_call,0.015418877999999999
16,Robot2,8,prover,total_lifecycle,3.5269975540000003
16,Robot2,9,prover,e2e_blockchain,3.205914117
16,Robot2,9,prover,evidence_call,0.009588656999999999
16,Robot2,9,prover,total_lifecycle,3.2216452089999996
16,Robot3,1,prover,e2e_blockchain,5.13317001
16,Robot3,1,prover,evidence_call,0.024831861
16,Robot3,1,prover,total_lifecycle,5.145718603000001
16,Robot3,10,prover,e2e_blockchain,2.849006672
16,Robot3,10,prover,evidence_call,0.00947904
16,Robot3,10,prover,total_lifecycle,2.869261494
16,Robot3,2,prover,e2e_blockchain,4.683660573
16,Robot3,2,prover,evidence_call,0.013509578
16,Robot3,2,prover,total_lifecycle,4.703685094000001
16,Robot3,3,prover,e2e_blockchain,3.384042763
16,Robot3,3,prover,evidence_call,0.010547178
16,Robot3,3,prover,total_lifecycle,3.400106567
16,Robot3,4,prover,e2e_blockchain,2.948658479
16,Robot3,4,prover,evidence_call,0.008320280000000001
16,Robot3,4,prover,total_lifecycle,2.962034747
16,Robot3,5,prover,e2e_blockchain,3.589645692
16,Robot3,5,prover,evidence_call,0.009502547
16,Robot3,5,prover,total_lifecycle,3.606398156
16,Robot3,6,prover,e2e_blockchain,3.247577594
16,Robot3,6,prover,evidence_call,0.007268918
16,Robot3,6,prover,total_lifecycle,3.2599610859999997
16,Robot3,7,prover,e2e_blockchain,2.891095088
16,Robot3,7,prover,evidence_call,0.012964335
16,Robot3,7,prover,total_lifecycle,2.9060517129999996
16,Robot3,8,prover,e2e_blockchain,3.519838236
16,Robot3,8,prover,evidence_call,0.010670236
16,Robot3,8,prover,total_lifecycle,3.5314042989999996
16,Robot3,9,prover,e2e_blockchain,3.195643085
16,Robot3,9,prover,evidence_call,0.01045974
16,Robot3,9,prover,total_lifecycle,3.208843999
16,Robot4,1,prover,e2e_blockchain,5.155899485
16,Robot4,1,prover,evidence_call,0.031834723
16,Robot4,1,prover,total_lifecycle,5.171821371
16,Robot4,10,prover,e2e_blockchain,2.857802105
16,Robot4,10,prover,evidence_call,0.010074869
