n_robots,participant,run,role,metric,run_median_s,run_mean_s,participant_group
4,Robot3,11,prover,e2e_blockchain,2.47303794,2.47303794,Robot
4,Robot3,11,prover,evidence_call,0.017109113000000002,0.017109113000000002,Robot
4,Robot3,11,prover,total_lifecycle,2.4829079660000004,2.4829079660000004,Robot
4,Robot3,12,prover,e2e_blockchain,3.289815496,3.289815496,Robot
4,Robot3,12,prover,evidence_call,0.016508826,0.016508826,Robot
4,Robot3,12,prover,total_lifecycle,3.299545799,3.299545799,Robot
4,Robot3,13,prover,e2e_blockchain,3.079943198,3.079943198,Robot
4,Robot3,13,prover,evidence_call,0.012531268,0.012531268,Robot
4,Robot3,13,prover,total_lifecycle,3.091411035,3.091411035,Robot
4,Robot3,14,prover,e2e_blockchain,2.871332424,2.871332424,Robot
4,Robot3,14,prover,evidence_call,0.012831801,0.012831801,Robot
4,Robot3,14,prover,total_lifecycle,2.882503623,2.882503623,Robot
4,Robot3,15,prover,e2e_blockchain,3.700831578,3.700831578,Robot
4,Robot3,15,prover,evidence_call,0.017370847999999998,0.017370847999999998,Robot
4,Robot3,15,prover,total_lifecycle,3.710419215,3.710419215,Robot
4,Robot3,16,prover,e2e_blockchain,2.6727101440000003,2.6727101440000003,Robot
4,Robot3,16,prover,evidence_call,0.012830699,0.012830699,Robot
4,Robot3,16,prover,total_lifecycle,2.685107511,2.685107511,Robot
4,Robot3,17,prover,e2e_blockchain,3.4845925820000003,3.4845925820000003,Robot
4,Robot3,17,prover,evidence_call,0.012196446,0.012196446,Robot
4,Robot3,17,prover,total_lifecycle,3.4978987040000002,3.4978987040000002,Robot
4,Robot3,18,prover,e2e_blockchain,3.284007855,3.284007855,Robot
4,Robot3,18,prover,evidence_call,0.013619459,0.013619459,Robot
4,Robot3,18,prover,total_lifecycle,3.297887722,3.297887722,Robot
4,Robot3,19,prover,e2e_blockchain,2.257213192,2.257213192,Robot
4,Robot3,19,prover,evidence_call,0.014103694000000002,0.014103694000000002,Robot
4,Robot3,19,prover,total_lifecycle,2.269916627,2.269916627,Robot
4,Robot3,20,prover,e2e_blockchain,3.9109842130000003,3.9109842130000003,Robot
4,Robot3,20,prover,evidence_call,0.032359268000000004,0.032359268000000004,Robot
4,Robot3,20,prover,total_lifecycle,3.924808644,3.924808644,Robot
4,Robot4,1,prover,e2e_blockchain,2.949760631,2.949760631,Robot
4,Robot4,1,prover,evidence_call,0.026438791,0.026438791,Robot
4,Robot4,1,prover,total_lifecycle,2.9619519690000002,2.9619519690000002,Robot
4,Robot4,2,prover,e2e_blockchain,2.70934711,2.70934711,Robot
4,Robot4,2,prover,evidence_call,0.024808668000000002,0.024808668000000002,Robot
4,Robot4,2,prover,total_lifecycle,2.7300092570000003,2.7300092570000003,Robot
4,Robot4,3,prover,e2e_blockchain,3.7216414610000004,3.7216414610000004,Robot
4,Robot4,3,prover,evidence_call,0.01953822,0.01953822,Robot
4,Robot4,3,prover,total_lifecycle,3.734931525,3.734931525,Robot
4,Robot4,4,prover,e2e_blockchain,2.486256977,2.486256977,Robot
4,Robot4,4,prover,evidence_call,0.018696307000000002,0.018696307000000002,Robot
4,Robot4,4,prover,total_lifecycle,2.4982420430000003,2.4982420430000003,Robot
4,Robot4,5,prover,e2e_blockchain,3.292036655,3.292036655,Robot
4,Robot4,5,prover,evidence_call,0.014044474,0.014044474,Robot
4,Robot4,5,prover,total_lifecycle,3.30242057,3.30242057,Robot
