n_robots,mode,participant,run,role,metric,duration_s
10,continuous,Robot10,1,prover,e2e_blockchain,6.032375355999999
10,continuous,Robot10,1,prover,e2e_blockchain,5.358624534
10,continuous,Robot10,1,prover,e2e_blockchain,4.653596287
10,continuous,Robot10,1,prover,e2e_blockchain,5.92505655
10,continuous,Robot10,1,prover,e2e_blockchain,5.3666106650000005
10,continuous,Robot10,1,prover,evidence_call,0.026774403
10,continuous,Robot10,1,prover,evidence_call,0.030061294
10,continuous,Robot10,1,prover,evidence_call,0.00786315
10,continuous,Robot10,1,prover,evidence_call,0.011709863000000001
10,continuous,Robot10,1,prover,evidence_call,0.009215113
10,continuous,Robot10,1,prover,evidence_call,0.011046235
10,continuous,Robot10,1,prover,evidence_call,0.009872669
10,continuous,Robot10,1,prover,evidence_call,0.014227666
10,continuous,Robot10,1,prover,evidence_call,0.009208871
10,continuous,Robot10,1,prover,evidence_call,0.012047029
10,continuous,Robot10,1,prover,evidence_call,0.013593260000000001
10,continuous,Robot10,1,prover,total_lifecycle,4.6717882909999995
10,continuous,Robot10,1,prover,total_lifecycle,6.007057141000001
10,continuous,Robot10,1,prover,total_lifecycle,5.294679639
10,continuous,Robot10,1,prover,total_lifecycle,4.499179011
10,continuous,Robot10,1,prover,total_lifecycle,5.687147368
10,continuous,Robot10,1,prover,total_lifecycle,4.984595848
10,continuous,Robot10,1,prover,total_lifecycle,6.263605987
10,continuous,Robot10,1,prover,total_lifecycle,5.545633347
10,continuous,Robot10,1,prover,total_lifecycle,4.873675016999999
10,continuous,Robot10,1,prover,total_lifecycle,6.1302904289999995
10,continuous,Robot10,1,prover,total_lifecycle,5.4631400789999995
10,continuous,Robot10,1,verifier,reaction_time,0.021316396999999997
10,continuous,Robot10,1,verifier,reaction_time,0.028899743000000002
10,continuous,Robot10,1,verifier,reaction_time,0.017910702
10,continuous,Robot10,1,verifier,reaction_time,0.010445237999999999
10,continuous,Robot10,1,verifier,reaction_time,0.003728532
10,continuous,Robot10,1,verifier,reaction_time,0.0032893650000000003
10,continuous,Robot10,1,verifier,reaction_time,0.003885832
10,continuous,Robot10,1,verifier,reaction_time,0.003988728
10,continuous,Robot10,1,verifier,reaction_time,0.007138594999999999
10,continuous,Robot10,1,verifier,reaction_time,0.00244516
