n_robots,ssp_ms,iterq,cpu_limit,participant,run,role,metric,duration_s
16,20000.0,1.0,,Robot10,1,verifier,result_call,0.013684324999999999
16,20000.0,1.0,,Robot10,1,verifier,result_call,0.012454693000000001
16,20000.0,1.0,,Robot10,1,verifier,total_lifecycle,0.050680768
16,20000.0,1.0,,Robot10,1,verifier,total_lifecycle,0.037990693
16,20000.0,1.0,,Robot10,1,verifier,total_lifecycle,0.010379534
16,20000.0,1.0,,Robot10,1,verifier,total_lifecycle,0.013104295
16,20000.0,1.0,,Robot10,1,verifier,total_lifecycle,0.014595997000000001
16,20000.0,1.0,,Robot10,1,verifier,total_lifecycle,0.01601428
16,20000.0,1.0,,Robot10,1,verifier,total_lifecycle,0.018142605
16,20000.0,1.0,,Robot10,2,prover,e2e_blockchain,4.817769587
16,20000.0,1.0,,Robot10,2,prover,e2e_blockchain,4.302637063
16,20000.0,1.0,,Robot10,2,prover,e2e_blockchain,5.778227086
16,20000.0,1.0,,Robot10,2,prover,e2e_blockchain,5.283921648
16,20000.0,1.0,,Robot10,2,prover,e2e_blockchain,4.7555678079999995
16,20000.0,1.0,,Robot10,2,prover,e2e_blockchain,4.246831423
16,20000.0,1.0,,Robot10,2,prover,evidence_call,0.007724061
16,20000.0,1.0,,Robot10,2,prover,evidence_call,0.006887288
16,20000.0,1.0,,Robot10,2,prover,evidence_call,0.007462214
16,20000.0,1.0,,Robot10,2,prover,evidence_call,0.00790013
16,20000.0,1.0,,Robot10,2,prover,evidence_call,0.012151066
16,20000.0,1.0,,Robot10,2,prover,evidence_call,0.009116172
16,20000.0,1.0,,Robot10,2,prover,total_lifecycle,4.831607344
16,20000.0,1.0,,Robot10,2,prover,total_lifecycle,4.316982097
16,20000.0,1.0,,Robot10,2,prover,total_lifecycle,5.788728034
16,20000.0,1.0,,Robot10,2,prover,total_lifecycle,5.293177647
16,20000.0,1.0,,Robot10,2,prover,total_lifecycle,4.769649351
16,20000.0,1.0,,Robot10,2,prover,total_lifecycle,4.264176152
16,20000.0,1.0,,Robot10,2,verifier,reaction_time,0.004867077
16,20000.0,1.0,,Robot10,2,verifier,reaction_time,0.002783066
16,20000.0,1.0,,Robot10,2,verifier,reaction_time,0.005624118
16,20000.0,1.0,,Robot10,2,verifier,reaction_time,0.004212509
16,20000.0,1.0,,Robot10,2,verifier,reaction_time,0.003401963
16,20000.0,1.0,,Robot10,2,verifier,signatures_fetch,0.0036162010000000003
16,20000.0,1.0,,Robot10,2,verifier,signatures_fetch,0.0015930599999999999
16,20000.0,1.0,,Robot10,2,verifier,signatures_fetch,0.004936577
16,20000.0,1.0,,Robot10,2,verifier,signatures_fetch,0.008118793000000001
16,20000.0,1.0,,Robot10,2,verifier,signatures_fetch,0.002132698
16,20000.0,1.0,,Robot10,2,verifier,verify_compute,1.006e-06
16,20000.0,1.0,,Robot10,2,verifier,verify_compute,2.0170000000000003e-06
16,20000.0,1.0,,Robot10,2,verifier,verify_compute,7.280000000000001e-07
16,20000.0,1.0,,Robot10,2,verifier,verify_compute,7.22e-07
16,20000.0,1.0,,Robot10,2,verifier,verify_compute,2.256e-06
16,20000.0,1.0,,Robot10,2,verifier,result_call,0.008864093
16,20000.0,1.0,,Robot10,2,verifier,result_call,0.010450698
16,20000.0,1.0,,Robot10,2,verifier,result_call,0.012815399
16,20000.0,1.0,,Robot10,2,verifier,result_call,0.009278617000000001
16,20000.0,1.0,,Robot10,2,verifier,result_call,0.020569976
16,20000.0,1.0,,Robot10,2,verifier,total_lifecycle,0.01250144
16,20000.0,1.0,,Robot10,2,verifier,total_lifecycle,0.012084205
16,20000.0,1.0,,Robot10,2,verifier,total_lifecycle,0.017765582999999998
16,20000.0,1.0,,Robot10,2,verifier,total_lifecycle,0.017453025
16,20000.0,1.0,,Robot10,2,verifier,total_lifecycle,0.022731498
16,20000.0,1.0,,Robot10,3,prover,e2e_blockchain,5.811474079
16,20000.0,1.0,,Robot10,3,prover,e2e_blockchain,5.305882195000001
16,20000.0,1.0,,Robot10,3,prover,e2e_blockchain,4.787761155
16,20000.0,1.0,,Robot10,3,prover,e2e_blockchain,4.296768918
16,20000.0,1.0,,Robot10,3,prover,e2e_blockchain,5.753329387
16,20000.0,1.0,,Robot10,3,prover,e2e_blockchain,5.275362319
16,20000.0,1.0,,Robot10,3,prover,evidence_call,0.011135268
16,20000.0,1.0,,Robot10,3,prover,evidence_call,0.009516667
16,20000.0,1.0,,Robot10,3,prover,evidence_call,0.016016029
16,20000.0,1.0,,Robot10,3,prover,evidence_call,0.017393744000000003
16,20000.0,1.0,,Robot10,3,prover,evidence_call,0.008115213999999999
16,20000.0,1.0,,Robot10,3,prover,evidence_call,0.009927903
16,20000.0,1.0,,Robot10,3,prover,total_lifecycle,5.823936389
16,20000.0,1.0,,Robot10,3,prover,total_lifecycle,5.323751775
16,20000.0,1.0,,Robot10,3,prover,total_lifecycle,4.801736243000001
16,20000.0,1.0,,Robot10,3,prover,total_lifecycle,4.311488476
16,20000.0,1.0,,Robot10,3,prover,total_lifecycle,5.763900763
16,20000.0,1.0,,Robot10,3,prover,total_lifecycle,5.285386997
16,20000.0,1.0,,Robot10,3,verifier,reaction_time,0.003910384
16,20000.0,1.0,,Robot10,3,verifier,reaction_time,0.002691564
16,20000.0,1.0,,Robot10,3,verifier,reaction_time,0.002943319
16,20000.0,1.0,,Robot10,3,verifier,reaction_time,0.002463865
16,20000.0,1.0,,Robot10,3,verifier,reaction_time,0.012452517
16,20000.0,1.0,,Robot10,3,verifier,reaction_time,0.0022702490000000002
16,20000.0,1.0,,Robot10,3,verifier,reaction_time,0.002698299
16,20000.0,1.0,,Robot10,3,verifier,signatures_fetch,0.0016032239999999999
16,20000.0,1.0,,Robot10,3,verifier,signatures_fetch,0.002216179
16,20000.0,1.0,,Robot10,3,verifier,signatures_fetch,0.002096702
16,20000.0,1.0,,Robot10,3,verifier,signatures_fetch,0.001359489
