t_rel_s,formation_error,cum_damage,centroid_x,centroid_y,cross_track,along_track,x_robot1,x_robot2,x_robot3,x_robot4,y_robot1,y_robot2,y_robot3,y_robot4,yaw_robot1,yaw_robot2,yaw_robot3,yaw_robot4
1.10,0.0395,0.0415,0.2792,-0.0013,0.0013,0.2317,2.3052,-1.6955,-1.6937,2.2009,1.9941,1.9945,-1.9958,-1.9982,-0.0121,-0.0119,-0.0013,0.0116
1.20,0.0395,0.0455,0.3012,-0.0014,0.0014,0.2537,2.3272,-1.6735,-1.6717,2.2229,1.9939,1.9942,-1.9959,-1.9979,-0.0091,-0.0091,-0.0041,0.0104
1.30,0.0395,0.0494,0.3232,-0.0015,0.0014,0.2757,2.3492,-1.6515,-1.6497,2.2449,1.9937,1.9941,-1.9960,-1.9977,-0.0065,-0.0066,-0.0062,0.0092
1.40,0.0395,0.0534,0.3452,-0.0015,0.0015,0.2977,2.3712,-1.6295,-1.6277,2.2669,1.9936,1.9939,-1.9961,-1.9975,-0.0043,-0.0045,-0.0077,0.0078
1.50,0.0395,0.0573,0.3672,-0.0016,0.0015,0.3197,2.3931,-1.6075,-1.6057,2.2889,1.9935,1.9939,-1.9963,-1.9974,-0.0024,-0.0027,-0.0085,0.0066
1.60,0.0395,0.0613,0.3891,-0.0016,0.0015,0.3416,2.4150,-1.5856,-1.5838,2.3108,1.9935,1.9938,-1.9965,-1.9972,-0.0010,-0.0013,-0.0088,0.0054
1.70,0.0395,0.0652,0.4111,-0.0016,0.0016,0.3636,2.4370,-1.5636,-1.5618,2.3328,1.9935,1.9938,-1.9967,-1.9971,0.0001,-0.0003,-0.0086,0.0043
1.80,0.0395,0.0692,0.4331,-0.0017,0.0016,0.3857,2.4591,-1.5416,-1.5398,2.3549,1.9935,1.9938,-1.9969,-1.9970,0.0009,0.0004,-0.0081,0.0033
1.90,0.0395,0.0731,0.4552,-0.0017,0.0016,0.4077,2.4811,-1.5195,-1.5177,2.3769,1.9935,1.9938,-1.9970,-1.9970,0.0013,0.0009,-0.0072,0.0024
2.00,0.0395,0.0771,0.4771,-0.0017,0.0016,0.4297,2.5030,-1.4976,-1.4958,2.3989,1.9935,1.9938,-1.9972,-1.9969,0.0014,0.0012,-0.0062,0.0016
2.10,0.0395,0.0810,0.4990,-0.0017,0.0016,0.4515,2.5249,-1.4757,-1.4739,2.4207,1.9936,1.9939,-1.9973,-1.9969,0.0015,0.0013,-0.0051,0.0010
2.20,0.0395,0.0850,0.5211,-0.0017,0.0016,0.4736,2.5470,-1.4536,-1.4519,2.4428,1.9936,1.9939,-1.9974,-1.9969,0.0014,0.0013,-0.0039,0.0005
2.30,0.0395,0.0889,0.5431,-0.0017,0.0016,0.4957,2.5691,-1.4316,-1.4298,2.4649,1.9936,1.9939,-1.9975,-1.9969,0.0013,0.0012,-0.0028,0.0001
2.40,0.0395,0.0929,0.5652,-0.0017,0.0016,0.5177,2.5911,-1.4096,-1.4078,2.4869,1.9937,1.9939,-1.9975,-1.9969,0.0011,0.0010,-0.0018,-0.0002
2.50,0.0395,0.0968,0.5871,-0.0017,0.0016,0.5397,2.6131,-1.3876,-1.3858,2.5088,1.9937,1.9940,-1.9976,-1.9969,0.0008,0.0009,-0.0009,-0.0004
2.60,0.0395,0.1008,0.6092,-0.0017,0.0016,0.5617,2.6351,-1.3656,-1.3638,2.5309,1.9937,1.9940,-1.9976,-1.9969,0.0006,0.0007,-0.0001,-0.0006
2.70,0.0395,0.1047,0.6312,-0.0017,0.0016,0.5837,2.6571,-1.3436,-1.3418,2.5529,1.9937,1.9940,-1.9976,-1.9969,0.0004,0.0005,0.0005,-0.0006
2.80,0.0394,0.1087,0.6531,-0.0017,0.0016,0.6057,2.6791,-1.3216,-1.3198,2.5749,1.9937,1.9940,-1.9976,-1.9969,0.0002,0.0003,0.0009,-0.0007
2.90,0.0394,0.1126,0.6751,-0.0017,0.0016,0.6276,2.7011,-1.2996,-1.2978,2.5969,1.9937,1.9940,-1.9975,-1.9969,0.0000,0.0001,0.0012,-0.0007
3.00,0.0394,0.1165,0.6971,-0.0017,0.0016,0.6496,2.7231,-1.2776,-1.2758,2.6189,1.9937,1.9940,-1.9975,-1.9970,-0.0001,0.0000,0.0014,-0.0007
3.10,0.0394,0.1205,0.7191,-0.0017,0.0016,0.6716,2.7450,-1.2556,-1.2539,2.6408,1.9937,1.9940,-1.9975,-1.9970,-0.0002,-0.0001,0.0015,-0.0006
3.20,0.0394,0.1244,0.7409,-0.0017,0.0016,0.6934,2.7668,-1.2338,-1.2320,2.6626,1.9937,1.9940,-1.9974,-1.9970,-0.0002,-0.0001,0.0015,-0.0006
3.30,0.0394,0.1284,0.7629,-0.0017,0.0016,0.7154,2.7888,-1.2118,-1.2100,2.6846,1.9937,1.9940,-1.9974,-1.9970,-0.0002,-0.0001,0.0014,-0.0005
3.40,0.0395,0.1323,0.7849,-0.0017,0.0016,0.7374,2.8108,-1.1898,-1.1880,2.7066,1.9937,1.9940,-1.9974,-1.9970,-0.0002,-0.0001,0.0013,-0.0004
3.50,0.0395,0.1363,0.8069,-0.0017,0.0016,0.7594,2.8329,-1.1678,-1.1660,2.7286,1.9937,1.9940,-1.9974,-1.9970,-0.0002,-0.0001,0.0011,-0.0003
3.60,0.0395,0.1402,0.8289,-0.0017,0.0016,0.7814,2.8549,-1.1458,-1.1440,2.7506,1.9937,1.9940,-1.9973,-1.9970,-0.0002,-0.0001,0.0009,-0.0003
3.70,0.0395,0.1442,0.8509,-0.0017,0.0016,0.8034,2.8769,-1.1238,-1.1220,2.7726,1.9937,1.9940,-1.9973,-1.9970,-0.0001,-0.0001,0.0008,-0.0002
3.80,0.0395,0.1481,0.8729,-0.0017,0.0016,0.8254,2.8988,-1.1018,-1.1001,2.7946,1.9937,1.9940,-1.9973,-1.9970,-0.0001,-0.0001,0.0006,-0.0001
3.90,0.0395,0.1521,0.8949,-0.0017,0.0016,0.8474,2.9209,-1.0798,-1.0780,2.8167,1.9937,1.9940,-1.9973,-1.9970,-0.0001,-0.0001,0.0004,-0.0001
4.00,0.0395,0.1560,0.9169,-0.0017,0.0016,0.8694,2.9428,-1.0578,-1.0561,2.8386,1.9937,1.9940,-1.9973,-1.9970,-0.0001,-0.0001,0.0003,-0.0000
4.10,0.0395,0.1599,0.9388,-0.0017,0.0016,0.8914,2.9648,-1.0359,-1.0341,2.8606,1.9937,1.9940,-1.9973,-1.9970,-0.0000,-0.0000,0.0001,-0.0000
4.20,0.0395,0.1639,0.9609,-0.0017,0.0016,0.9134,2.9868,-1.0139,-1.0121,2.8826,1.9937,1.9940,-1.9973,-1.9970,-0.0000,-0.0000,0.0001,0.0000
4.30,0.0395,0.1678,0.9829,-0.0017,0.0016,0.9354,3.0088,-0.9919,-0.9901,2.9046,1.9937,1.9940,-1.9973,-1.9970,-0.0000,-0.0000,-0.0000,0.0001
4.40,0.0395,0.1718,1.0047,-0.0017,0.0016,0.9572,3.0307,-0.9700,-0.9682,2.9264,1.9937,1.9940,-1.9973,-1.9970,-0.0000,-0.0000,-0.0001,0.0001
4.50,0.0395,0.1757,1.0267,-0.0017,0.0016,0.9792,3.0527,-0.9480,-0.9462,2.9484,1.9937,1.9940,-1.9973,-1.9970,-0.0000,-0.0000,-0.0001,0.0001
4.60,0.0395,0.1797,1.0488,-0.0017,0.0016,1.0013,3.0747,-0.9259,-0.9242,2.9705,1.9937,1.9940,-1.9973,-1.9970,-0.0000,-0.0000,-0.0001,0.0001
4.70,0.0395,0.1836,1.0707,-0.0017,0.0016,1.0232,3.0966,-0.9040,-0.9022,2.9924,1.9937,1.9940,-1.9973,-1.9970,-0.0000,-0.0000,-0.0001,0.0001
4.80,0.0395,0.1876,1.0927,-0.0017,0.0016,1.0452,3.1187,-0.8820,-0.8802,3.0145,1.9937,1.9940,-1.9973,-1.9970,-0.0000,-0.0000,-0.0001,0.0001
4.90,0.0395,0.1915,1.1147,-0.0017,0.0016,1.0672,3.1407,-0.8600,-0.8582,3.0364,1.9937,1.9940,-1.9973,-1.9970,-0.0000,-0.0000,-0.0001,0.0001
5.00,0.0395,0.1955,1.1367,-0.0017,0.0016,1.0892,3.1627,-0.8380,-0.8362,3.0584,1.9937,1.9940,-1.9973,-1.9970,-0.0001,-0.0001,-0.0001,0.0001
5.10,0.0395,0.1994,1.1587,-0.0017,0.0016,1.1112,3.1847,-0.8160,-0.8142,3.0804,1.9937,1.9940,-1.9973,-1.9970,-0.0001,-0.0001,-0.0000,0.0001
5.20,0.0395,0.2034,1.1807,-0.0017,0.0016,1.1332,3.2066,-0.7940,-0.7922,3.1024,1.9937,1.9940,-1.9973,-1.9970,-0.0001,-0.0001,-0.0000,0.0001
5.30,0.0395,0.2073,1.2027,-0.0017,0.0016,1.1552,3.2286,-0.7720,-0.7703,3.1244,1.9937,1.9940,-1.9973,-1.9970,-0.0001,-0.0001,0.0000,0.0001
5.40,0.0395,0.2112,1.2247,-0.0017,0.0016,1.1772,3.2506,-0.7500,-0.7482,3.1464,1.9937,1.9940,-1.9973,-1.9970,-0.0001,-0.0001,0.0000,0.0001
5.50,0.0395,0.2152,1.2467,-0.0017,0.0016,1.1992,3.2726,-0.7280,-0.7262,3.1684,1.9937,1.9940,-1.9973,-1.9970,-0.0001,-0.0001,0.0000,0.0001
5.60,0.0395,0.2191,1.2687,-0.0017,0.0016,1.2213,3.2947,-0.7060,-0.7042,3.1905,1.9937,1.9940,-1.9973,-1.9970,-0.0001,-0.0001,0.0001,0.0001
5.70,0.0395,0.2231,1.2907,-0.0017,0.0016,1.2433,3.3167,-0.6840,-0.6822,3.2124,1.9937,1.9940,-1.9973,-1.9970,-0.0001,-0.0001,0.0001,0.0001
5.80,0.0395,0.2270,1.3128,-0.0017,0.0016,1.2653,3.3387,-0.6619,-0.6601,3.2345,1.9937,1.9940,-1.9973,-1.9970,-0.0001,-0.0001,0.0001,0.0001
5.90,0.0395,0.2310,1.3348,-0.0017,0.0016,1.2873,3.3608,-0.6399,-0.6381,3.2565,1.9937,1.9940,-1.9973,-1.9970,-0.0001,-0.0001,0.0001,0.0001
6.00,0.0395,0.2349,1.3567,-0.0017,0.0016,1.3093,3.3827,-0.6180,-0.6162,3.2785,1.9937,1.9940,-1.9973,-1.9970,-0.0001,-0.0001,0.0001,0.0001
6.10,0.0395,0.2389,1.3787,-0.0017,0.0016,1.3312,3.4046,-0.5960,-0.5943,3.3004,1.9936,1.9940,-1.9973,-1.9970,-0.0001,-0.0001,0.0001,0.0001
6.20,0.0395,0.2428,1.4005,-0.0017,0.0016,1.3531,3.4265,-0.5742,-0.5724,3.3223,1.9936,1.9940,-1.9973,-1.9970,-0.0001,-0.0001,0.0001,0.0001
6.30,0.0395,0.2468,1.4225,-0.0017,0.0016,1.3750,3.4484,-0.5522,-0.5504,3.3442,1.9936,1.9940,-1.9973,-1.9970,-0.0001,-0.0001,0.0001,0.0001
6.40,0.0395,0.2507,1.4445,-0.0017,0.0016,1.3970,3.4705,-0.5302,-0.5284,3.3662,1.9936,1.9939,-1.9973,-1.9970,-0.0001,-0.0001,0.0001,0.0001
6.50,0.0395,0.2547,1.4665,-0.0017,0.0016,1.4190,3.4925,-0.5082,-0.5064,3.3882,1.9936,1.9939,-1.9973,-1.9970,-0.0001,-0.0001,0.0001,0.0001
6.60,0.0395,0.2586,1.4885,-0.0017,0.0016,1.4410,3.5144,-0.4862,-0.4845,3.4102,1.9936,1.9939,-1.9973,-1.9970,-0.0001,-0.0001,0.0001,0.0001
6.70,0.0395,0.2626,1.5105,-0.0017,0.0016,1.4630,3.5364,-0.4642,-0.4624,3.4322,1.9936,1.9939,-1.9973,-1.9970,-0.0001,-0.0001,0.0001,0.0001
6.80,0.0395,0.2665,1.5325,-0.0017,0.0016,1.4850,3.5584,-0.4422,-0.4404,3.4543,1.9936,1.9939,-1.9973,-1.9970,-0.0001,-0.0001,0.0001,0.0001
6.90,0.0395,0.2704,1.5545,-0.0017,0.0016,1.5070,3.5804,-0.4202,-0.4184,3.4762,1.9936,1.9939,-1.9973,-1.9970,-0.0001,-0.0001,0.0001,0.0001
7.00,0.0395,0.2744,1.5765,-0.0017,0.0016,1.5290,3.6024,-0.3982,-0.3964,3.4983,1.9936,1.9939,-1.9973,-1.9970,-0.0001,-0.0001,0.0001,0.0001
7.10,0.0395,0.2783,1.5985,-0.0017,0.0016,1.5511,3.6245,-0.3762,-0.3744,3.5203,1.9936,1.9939,-1.9973,-1.9970,-0.0001,-0.0001,0.0001,0.0001
7.20,0.0395,0.2823,1.6206,-0.0017,0.0016,1.5731,3.6465,-0.3541,-0.3523,3.5423,1.9936,1.9939,-1.9973,-1.9970,-0.0001,-0.0001,0.0001,0.0001
7.30,0.0395,0.2862,1.6427,-0.0017,0.0016,1.5952,3.6686,-0.3320,-0.3303,3.5644,1.9936,1.9939,-1.9973,-1.9970,-0.0001,-0.0001,0.0001,0.0001
7.40,0.0395,0.2902,1.6646,-0.0017,0.0016,1.6172,3.6906,-0.3101,-0.3083,3.5864,1.9936,1.9939,-1.9973,-1.9970,-0.0001,-0.0001,0.0001,0.0001
7.50,0.0395,0.2941,1.6867,-0.0017,0.0016,1.6392,3.7126,-0.2880,-0.2863,3.6084,1.9936,1.9939,-1.9973,-1.9970,-0.0001,-0.0001,0.0001,0.0001
7.60,0.0395,0.2981,1.7085,-0.0017,0.0016,1.6610,3.7344,-0.2662,-0.2644,3.6302,1.9936,1.9939,-1.9973,-1.9970,-0.0001,-0.0001,0.0001,0.0001
7.70,0.0395,0.3020,1.7306,-0.0017,0.0016,1.6831,3.7565,-0.2441,-0.2423,3.6523,1.9936,1.9939,-1.9973,-1.9970,-0.0001,-0.0001,0.0001,0.0001
7.80,0.0395,0.3060,1.7525,-0.0017,0.0016,1.7050,3.7785,-0.2222,-0.2204,3.6743,1.9936,1.9939,-1.9973,-1.9970,-0.0001,-0.0001,0.0001,0.0001
7.90,0.0395,0.3099,1.7745,-0.0017,0.0016,1.7270,3.8004,-0.2002,-0.1985,3.6962,1.9936,1.9939,-1.9973,-1.9970,-0.0001,-0.0001,0.0001,0.0001
8.00,0.0395,0.3139,1.7962,-0.0017,0.0016,1.7488,3.8222,-0.1785,-0.1767,3.7179,1.9936,1.9939,-1.9973,-1.9970,-0.0001,-0.0001,0.0001,0.0001
8.10,0.0395,0.3178,1.8184,-0.0017,0.0016,1.7709,3.8443,-0.1563,-0.1546,3.7401,1.9936,1.9939,-1.9973,-1.9970,-0.0001,-0.0001,0.0001,0.0001
8.20,0.0395,0.3218,1.8405,-0.0017,0.0016,1.7930,3.8665,-0.1342,-0.1324,3.7622,1.9936,1.9939,-1.9973,-1.9970,-0.0001,-0.0001,0.0001,0.0001
8.30,0.0395,0.3257,1.8626,-0.0017,0.0016,1.8151,3.8885,-0.1121,-0.1104,3.7843,1.9936,1.9939,-1.9973,-1.9970,-0.0001,-0.0001,0.0001,0.0001
8.40,0.0395,0.3296,1.8846,-0.0017,0.0016,1.8371,3.9105,-0.0901,-0.0884,3.8063,1.9936,1.9939,-1.9973,-1.9970,-0.0001,-0.0001,0.0001,0.0001
8.50,0.0395,0.3336,1.9065,-0.0017,0.0016,1.8590,3.9325,-0.0682,-0.0664,3.8282,1.9936,1.9939,-1.9972,-1.9970,-0.0001,-0.0001,0.0001,0.0001
8.60,0.0395,0.3375,1.9285,-0.0017,0.0016,1.8810,3.9545,-0.0462,-0.0444,3.8502,1.9936,1.9939,-1.9972,-1.9970,-0.0001,-0.0001,0.0001,0.0001
8.70,0.0395,0.3415,1.9505,-0.0017,0.0016,1.9030,3.9765,-0.0242,-0.0224,3.8722,1.9936,1.9939,-1.9972,-1.9969,-0.0001,-0.0001,0.0001,0.0001
8.80,0.0395,0.3454,1.9725,-0.0017,0.0016,1.9250,3.9985,-0.0022,-0.0004,3.8942,1.9936,1.9939,-1.9972,-1.9969,-0.0001,-0.0001,0.0001,0.0001
8.90,0.0395,0.3494,1.9945,-0.0017,0.0016,1.9470,4.0205,0.0198,0.0216,3.9162,1.9936,1.9939,-1.9972,-1.9969,-0.0001,-0.0001,0.0001,0.0001
9.00,0.0395,0.3533,2.0165,-0.0017,0.0016,1.9690,4.0425,0.0418,0.0436,3.9382,1.9936,1.9939,-1.9972,-1.9969,-0.0001,-0.0001,0.0001,0.0001
9.10,0.0395,0.3573,2.0385,-0.0017,0.0016,1.9910,4.0644,0.0638,0.0656,3.9602,1.9936,1.9939,-1.9972,-1.9969,-0.0001,-0.0001,0.0001,0.0001
9.20,0.0395,0.3612,2.0605,-0.0017,0.0016,2.0130,4.0864,0.0858,0.0875,3.9822,1.9936,1.9939,-1.9972,-1.9969,-0.0001,-0.0001,0.0001,0.0001
9.30,0.0395,0.3652,2.0825,-0.0017,0.0016,2.0350,4.1084,0.1078,0.1095,4.0042,1.9936,1.9939,-1.9972,-1.9969,-0.0001,-0.0001,0.0001,0.0001
9.40,0.0395,0.3691,2.1045,-0.0017,0.0016,2.0570,4.1304,0.1298,0.1316,4.0262,1.9936,1.9939,-1.9972,-1.9969,-0.0001,-0.0001,0.0001,0.0001
9.50,0.0395,0.3731,2.1264,-0.0017,0.0016,2.0790,4.1524,0.1517,0.1535,4.0482,1.9936,1.9939,-1.9972,-1.9969,-0.0001,-0.0001,0.0001,0.0001
9.60,0.0395,0.3770,2.1485,-0.0017,0.0016,2.1010,4.1744,0.1738,0.1755,4.0702,1.9936,1.9939,-1.9972,-1.9969,-0.0001,-0.0001,0.0001,0.0001
9.70,0.0395,0.3810,2.1705,-0.0017,0.0016,2.1230,4.1964,0.1958,0.1975,4.0922,1.9936,1.9939,-1.9972,-1.9969,-0.0001,-0.0001,0.0001,0.0001
9.80,0.0395,0.3849,2.1925,-0.0017,0.0016,2.1450,4.2184,0.2178,0.2195,4.1142,1.9936,1.9939,-1.9972,-1.9969,-0.0001,-0.0001,0.0001,0.0001
9.90,0.0395,0.3889,2.2145,-0.0017,0.0016,2.1670,4.2404,0.2398,0.2415,4.1362,1.9936,1.9939,-1.9972,-1.9969,-0.0001,-0.0001,0.0001,0.0001
10.00,0.0395,0.3928,2.2365,-0.0017,0.0016,2.1890,4.2624,0.2618,0.2635,4.1582,1.9936,1.9939,-1.9972,-1.9969,-0.0001,-0.0001,0.0001,0.0001
10.10,0.0395,0.3968,2.2585,-0.0017,0.0016,2.2110,4.2844,0.2837,0.2855,4.1802,1.9936,1.9939,-1.9972,-1.9969,-0.0001,-0.0001,0.0001,0.0001
10.20,0.0395,0.4007,2.2804,-0.0017,0.0016,2.2329,4.3063,0.3057,0.3074,4.2021,1.9936,1.9939,-1.9972,-1.9969,-0.0001,-0.0001,0.0001,0.0001
10.30,0.0395,0.4046,2.3024,-0.0017,0.0016,2.2549,4.3283,0.3277,0.3294,4.2241,1.9936,1.9939,-1.9972,-1.9969,-0.0001,-0.0001,0.0001,0.0001
10.40,0.0395,0.4086,2.3244,-0.0017,0.0016,2.2769,4.3504,0.3497,0.3515,4.2461,1.9936,1.9939,-1.9972,-1.9969,-0.0001,-0.0001,0.0001,0.0001
10.50,0.0395,0.4125,2.3464,-0.0017,0.0016,2.2989,4.3724,0.3717,0.3735,4.2681,1.9936,1.9939,-1.9972,-1.9969,-0.0001,-0.0001,0.0001,0.0001
10.60,0.0395,0.4165,2.3685,-0.0017,0.0016,2.3210,4.3944,0.3938,0.3955,4.2902,1.9936,1.9939,-1.9972,-1.9969,-0.0001,-0.0001,0.0001,0.0001
10.70,0.0395,0.4204,2.3904,-0.0017,0.0016,2.3429,4.4163,0.4157,0.4174,4.3121,1.9936,1.9939,-1.9972,-1.9969,-0.0001,-0.0001,0.0001,0.0001
10.80,0.0395,0.4244,2.4124,-0.0017,0.0016,2.3649,4.4383,0.4376,0.4394,4.3341,1.9936,1.9939,-1.9972,-1.9969,-0.0001,-0.0001,0.0001,0.0001
10.90,0.0395,0.4283,2.4343,-0.0017,0.0016,2.3868,4.4602,0.4596,0.4614,4.3560,1.9935,1.9939,-1.9972,-1.9969,-0.0001,-0.0001,0.0001,0.0001
11.00,0.0395,0.4323,2.4564,-0.0017,0.0016,2.4089,4.4823,0.4817,0.4834,4.3781,1.9935,1.9939,-1.9972,-1.9969,-0.0001,-0.0001,0.0001,0.0001
11.10,0.0395,0.4362,2.4784,-0.0017,0.0016,2.4309,4.5043,0.5037,0.5055,4.4001,1.9935,1.9939,-1.9972,-1.9969,-0.0001,-0.0001,0.0001,0.0001
11.20,0.0395,0.4402,2.5004,-0.0017,0.0016,2.4529,4.5263,0.5257,0.5275,4.4221,1.9935,1.9939,-1.9972,-1.9969,-0.0001,-0.0001,0.0001,0.0001
11.30,0.0395,0.4441,2.5224,-0.0017,0.0016,2.4749,4.5483,0.5477,0.5494,4.4441,1.9935,1.9939,-1.9972,-1.9969,-0.0001,-0.0001,0.0001,0.0001
11.40,0.0395,0.4481,2.5443,-0.0017,0.0016,2.4969,4.5703,0.5696,0.5714,4.4661,1.9935,1.9939,-1.9972,-1.9969,-0.0001,-0.0001,0.0001,0.0001
11.50,0.0395,0.4520,2.5664,-0.0017,0.0016,2.5189,4.5923,0.5917,0.5934,4.4881,1.9935,1.9939,-1.9972,-1.9969,-0.0001,-0.0001,0.0001,0.0001
11.60,0.0395,0.4560,2.5884,-0.0017,0.0016,2.5409,4.6143,0.6136,0.6154,4.5101,1.9935,1.9939,-1.9972,-1.9969,-0.0001,-0.0001,0.0001,0.0001
11.70,0.0395,0.4599,2.6103,-0.0017,0.0016,2.5628,4.6362,0.6356,0.6374,4.5320,1.9935,1.9939,-1.9972,-1.9969,-0.0001,-0.0001,0.0001,0.0001
11.80,0.0395,0.4639,2.6323,-0.0017,0.0016,2.5848,4.6582,0.6575,0.6593,4.5540,1.9935,1.9939,-1.9972,-1.9969,-0.0001,-0.0001,0.0001,0.0001
11.90,0.0395,0.4678,2.6541,-0.0017,0.0016,2.6066,4.6800,0.6794,0.6812,4.5758,1.9935,1.9939,-1.9972,-1.9969,-0.0001,-0.0001,0.0001,0.0001
12.00,0.0395,0.4718,2.6761,-0.0017,0.0016,2.6286,4.7020,0.7014,0.7031,4.5978,1.9935,1.9938,-1.9972,-1.9969,-0.0001,-0.0001,0.0001,0.0001
12.10,0.0395,0.4757,2.6981,-0.0017,0.0016,2.6506,4.7240,0.7234,0.7251,4.6198,1.9935,1.9938,-1.9972,-1.9969,-0.0001,-0.0001,0.0001,0.0001
12.20,0.0395,0.4797,2.7201,-0.0017,0.0016,2.6726,4.7460,0.7453,0.7471,4.6418,1.9935,1.9938,-1.9972,-1.9969,-0.0001,-0.0001,0.0001,0.0001
12.30,0.0395,0.4836,2.7421,-0.0017,0.0016,2.6946,4.7680,0.7674,0.7691,4.6638,1.9935,1.9938,-1.9972,-1.9969,-0.0001,-0.0001,0.0001,0.0001
12.40,0.0395,0.4875,2.7641,-0.0017,0.0016,2.7166,4.7900,0.7894,0.7911,4.6858,1.9935,1.9938,-1.9972,-1.9969,-0.0001,-0.0001,0.0001,0.0001
12.50,0.0395,0.4915,2.7860,-0.0017,0.0016,2.7386,4.8120,0.8113,0.8131,4.7078,1.9935,1.9938,-1.9972,-1.9969,-0.0001,-0.0001,0.0001,0.0001
12.60,0.0395,0.4954,2.8081,-0.0017,0.0016,2.7606,4.8340,0.8334,0.8351,4.7298,1.9935,1.9938,-1.9972,-1.9969,-0.0001,-0.0001,0.0001,0.0001
12.70,0.0395,0.4994,2.8300,-0.0017,0.0016,2.7825,4.8560,0.8553,0.8571,4.7517,1.9935,1.9938,-1.9972,-1.9969,-0.0001,-0.0001,0.0001,0.0001
12.80,0.0395,0.5033,2.8520,-0.0017,0.0016,2.8045,4.8780,0.8773,0.8791,4.7737,1.9935,1.9938,-1.9972,-1.9969,-0.0001,-0.0001,0.0001,0.0001
12.90,0.0395,0.5073,2.8740,-0.0017,0.0016,2.8265,4.8999,0.8993,0.9011,4.7957,1.9935,1.9938,-1.9972,-1.9969,-0.0001,-0.0001,0.0001,0.0001
13.00,0.0395,0.5112,2.8960,-0.0017,0.0016,2.8486,4.9220,0.9213,0.9231,4.8178,1.9935,1.9938,-1.9972,-1.9969,-0.0001,-0.0001,0.0001,0.0001
13.10,0.0395,0.5152,2.9180,-0.0017,0.0016,2.8705,4.9440,0.9433,0.9451,4.8397,1.9935,1.9938,-1.9972,-1.9969,-0.0001,-0.0001,0.0001,0.0001
13.20,0.0395,0.5191,2.9400,-0.0017,0.0016,2.8926,4.9660,0.9653,0.9671,4.8618,1.9935,1.9938,-1.9972,-1.9969,-0.0001,-0.0001,0.0001,0.0001
13.30,0.0395,0.5231,2.9620,-0.0017,0.0016,2.9145,4.9880,0.9873,0.9891,4.8837,1.9935,1.9938,-1.9972,-1.9969,-0.0001,-0.0001,0.0001,0.0001
13.40,0.0395,0.5270,2.9839,-0.0017,0.0016,2.9364,5.0098,1.0092,1.0110,4.9056,1.9935,1.9938,-1.9972,-1.9969,-0.0001,-0.0001,0.0001,0.0001
13.50,0.0395,0.5310,3.0060,-0.0017,0.0016,2.9585,5.0319,1.0313,1.0331,4.9277,1.9935,1.9938,-1.9972,-1.9969,-0.0001,-0.0001,0.0001,0.0001
13.60,0.0395,0.5349,3.0281,-0.0017,0.0016,2.9806,5.0540,1.0534,1.0551,4.9498,1.9935,1.9938,-1.9972,-1.9969,-0.0001,-0.0001,0.0001,0.0001
